"Question Number","Subject","Topic","Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation (Why Correct)","Why Other Options Are Wrong"
"19","Use of English","The Lekki Headmaster (Novel)","Which character in the novel is described as the school's 'comic relief' with 'biting humour'?","Mr. Fafore","Mr. Oyelana","Mr. Audu","Mr. Guta","C","Mr. Audu, the Fine Arts teacher, is repeatedly identified as the comic relief character. He jokes about going to Afghanistan if he got a visa and saves the MD's embarrassment after the grammar controversy.","A: Mr. Fafore is the English teacher known for his long commute and grammar knowledge. B: Mr. Oyelana appears as a colleague but is not described as the comic relief. D: Mr. Guta is the angry parent in Chapter 6, not a comic character."
"20","Use of English","The Lekki Headmaster (Novel)","In The Lekki Headmaster, the 'Point of No Return' referenced in Chapter 11 alludes primarily to _____.","the farewell ceremony at Stardom Schools","a historical slave-trade site in Badagry","the airport departure lounge","the highway to Ibadan","B","The 'Point of No Return' is a famous historical slave-trade site in Badagry, Lagos State, from which enslaved Africans were shipped abroad. The novel uses it as a metaphor comparing voluntary modern migration ('Japa') to historical forced migration.","A: The farewell was elaborate but is not called 'Point of No Return'. C: The airport departure lounge features in Chapter 12 but is not the 'Point of No Return'. D: The Ibadan highway features in Chapter 10 (passport renewal journey)."
"21","Use of English","The Lekki Headmaster (Novel)","The farewell gift Bepo received from the Managing Director of Stardom Schools was _____.","a gold medal and a certificate","a brand new car","a cheque of $10,000","a two-bedroom apartment","C","In Chapter 11, the MD Mrs. Ibidun Gloss presented Bepo with a $10,000 cheque — described as the highest Stardom had ever given a departing staff member.","A: A medal and certificate are not mentioned as his farewell gift. B: A car is not the farewell gift mentioned. D: No apartment gift is mentioned in the novel."
"22","Use of English","The Lekki Headmaster (Novel)","The climax of The Lekki Headmaster occurs when _____.","Bepo breaks down at the morning assembly in Chapter 1","Bepo boards the plane to London","Bepo returns to Stardom Schools after choosing not to stay in London","The MD threatens to sack Mr. Fafore","C","The novel's climax and resolution come together when Bepo unexpectedly returns to Stardom Schools after boarding the plane — appearing at the gate and declaring 'I am back! I am here!' This reversal is the novel's dramatic peak.","A: The breakdown in Chapter 1 is the inciting incident, not the climax. B: Boarding the plane is the false climax — the real climax is the return. D: The Fafore episode is a subplot, not the main climax."
"23","Use of English","The Lekki Headmaster (Novel)","Bepo's wife Seri is described in the novel as a _____.","school teacher in London","banker in the United Kingdom","nurse working in the United Kingdom","doctor working in Manchester","C","Seri Adewale is consistently described as a nurse earning well in the United Kingdom. She pressures Bepo to relocate to join her and their children Nike and Kike.","A: Seri is a nurse, not a teacher. B: Seri is a nurse, not a banker. D: Sola Kareem worked in Manchester; Seri is described as a nurse in the UK (London area)."
"24","Use of English","The Lekki Headmaster (Novel)","The Lekki Headmaster is authored by _____.","Khadija Abubakar Jalli","Chinua Achebe","Kabir Alabi Garba","Chimamanda Adichie","C","The Lekki Headmaster was written by Kabir Alabi Garba, who holds a Ph.D. in Mass Communication from the University of Lagos. It was published by Basmallah Communications Limited.","A: Khadija Abubakar Jalli wrote The Life Changer, the previous JAMB novel. B: Chinua Achebe is a different author entirely (e.g., Things Fall Apart). D: Chimamanda Adichie is a celebrated Nigerian author but not the author of this novel."
"25","Use of English","The Lekki Headmaster (Novel)","In Chapter 7 ('Ritualists'), Bepo resigned from Beesway Group of Schools because _____.","he was offered a better job","he witnessed the director burying a live cow at night and was assaulted when he confronted him","the school was closed by the government","he had a disagreement over salary","B","At 2:30am, Bepo saw the director Mr. Egi Meko and accomplices burying a live cow on the premises. When Bepo challenged them, he was physically assaulted and threatened. He left Beesway voluntarily thereafter.","A: No better job offer is mentioned as the cause of resignation. C: No government closure is mentioned. D: A salary disagreement is not the cause of his departure from Beesway."
"26","Use of English","The Lekki Headmaster (Novel)","The major THEME of The Lekki Headmaster is _____.","the importance of building schools in Nigeria","corruption and ritual practices in Nigerian education","the tension between migration and patriotism, and dedication to education","the conflicts between teachers and parents in private schools","C","The novel's primary theme is Bepo's internal conflict between migrating to the UK (the 'Japa' pull) and staying to serve his students and country. His ultimate return affirms patriotism and educational commitment.","A: School building is a background detail, not the main theme. B: Corruption and ritualism appear in Chapter 7 as a subplot, not the central theme. D: Teacher-parent conflict appears as a subplot (Chapter 4, 6, 8) but is not the main theme."
"27","Use of English","The Lekki Headmaster (Novel)","In Chapter 9 ('Laughing Waterfalls'), Bepo describes which waterfall as the highest in West Africa?","Gurara Falls","Ikogosi Warm Springs","Erin Ijesha (Olumirin) Waterfalls","Owu Waterfalls","D","Bepo specifically mentions Owu Waterfalls as standing at 120 metres, making it the highest waterfall in West Africa. This is a factual detail embedded in the novel that JAMB is likely to test.","A: Gurara Falls is mentioned as a visited site, not the highest in West Africa. B: Ikogosi is a warm spring, not a waterfall. C: Erin Ijesha (Olumirin) Waterfalls is mentioned but is not identified as the highest."
"28","Use of English","The Lekki Headmaster (Novel)","Mr. Fafore, the English teacher at Stardom, commuted daily from _____.","Lekki, Lagos","Ifo, Ogun State","Ibadan, Oyo State","Badagry, Lagos State","B","The novel explicitly states that Fafore commuted from Ifo, Ogun State, waking at 4am daily to reach school by 6am, where he would nap before colleagues arrived.","A: Fafore does not live in Lekki. C: The Ibadan journey is for Bepo's passport renewal, not Fafore's commute. D: Badagry features in the farewell cultural dance, not Fafore's residence."
"29","Use of English","The Lekki Headmaster (Novel)","The 'Breath Project' at Stardom Schools was a _____.","science experiment on air quality","phone-making initiative using recycled materials","government health awareness programme","drama performance about the environment","B","In Chapter 8, the Invention Club's 'Breath Project' was an initiative to make phones from recycled materials. It had attracted media and government interest, and Bepo was concerned it would be abandoned after his departure.","A: An air quality experiment is not described. C: No government health programme by this name appears in the novel. D: A drama performance is not described in relation to the Breath Project."
"30","Use of English","The Lekki Headmaster (Novel)","At the end of The Lekki Headmaster, Bepo's decision to return can be interpreted as the author's message that _____.","migration always leads to failure","true fulfilment comes from serving one's own community","teachers earn too little in Nigeria","the UK is not a good place for Nigerians","B","Bepo's return, his joyous declaration 'My heart is here!', and the students' celebration all point to the theme that identity, purpose, and fulfilment are rooted in serving one's community. This is the novel's moral conclusion.","A: The novel does not categorically state migration always fails; several characters thrived abroad. C: Low pay is noted but is not the concluding message. D: The novel is nuanced about the UK experience and does not condemn it outright."
"31","Use of English","Lexis & Structure - Synonyms","Choose the option that MOST NEARLY MEANS the same as the word underlined: The president gave an IMPROMPTU speech at the rally.","prepared","extemporaneous","rehearsed","scheduled","B","'Impromptu' means done without preparation or planning. 'Extemporaneous' is its closest synonym, meaning spoken or done without prior preparation.","A: 'Prepared' is the antonym of impromptu. C: 'Rehearsed' is the opposite of impromptu. D: 'Scheduled' implies advance planning, the opposite of impromptu."
"32","Use of English","Lexis & Structure - Synonyms","Choose the option that MOST NEARLY MEANS the same as the word underlined: His VERBOSE reports frustrated his supervisor.","concise","brief","wordy","legible","C","'Verbose' means using more words than necessary; it is best replaced by 'wordy'. JAMB regularly tests Latinate vocabulary like this.","A: 'Concise' is the antonym of verbose. B: 'Brief' is the antonym of verbose. D: 'Legible' relates to readability, not word quantity."
"33","Use of English","Lexis & Structure - Synonyms","Choose the option that MOST NEARLY MEANS the same as the word underlined: The committee decided to RESCIND its earlier decision.","enforce","review","uphold","revoke","D","'Rescind' means to officially cancel or revoke something previously agreed upon. 'Revoke' is the closest synonym.","A: 'Enforce' means to implement, which is the opposite of rescind. B: 'Review' means to examine again, not necessarily cancel. C: 'Uphold' means to maintain, which is also opposite to rescind."
"34","Use of English","Lexis & Structure - Antonyms","Choose the option MOST NEARLY OPPOSITE in meaning to the underlined word: The judge was known for his LENIENCY.","strictness","fairness","justice","wisdom","A","'Leniency' means the quality of being tolerant or merciful. Its antonym is 'strictness' or 'severity'.","B: Fairness is related but not the antonym; a lenient judge may still be fair. C: Justice is a broader concept unrelated as a direct antonym. D: Wisdom is unrelated to leniency as an antonym."
"35","Use of English","Lexis & Structure - Synonyms","Choose the option that MOST NEARLY MEANS the same as the word underlined: The president's speech was ELOQUENT.","incoherent","fluent and persuasive","verbose and confusing","short and abrupt","B","'Eloquent' means well-spoken, fluent, and persuasive in expression. JAMB tests positive descriptors of speech regularly.","A: 'Incoherent' is the opposite of eloquent. C: Verbose and confusing contradicts the positive meaning of eloquent. D: Short and abrupt does not match eloquent, which implies fullness of expression."
"36","Use of English","Lexis & Structure - Antonyms","Choose the option MOST NEARLY OPPOSITE in meaning to the underlined word: The athlete's performance was MEDIOCRE.","average","ordinary","exceptional","typical","C","'Mediocre' means of only average quality. Its antonym is 'exceptional' or 'outstanding'. Options A, B, and D are close in meaning to mediocre.","A: 'Average' is a synonym of mediocre, not an antonym. B: 'Ordinary' is similar to mediocre, not its antonym. D: 'Typical' is close in meaning to mediocre (ordinary), not its antonym."
"37","Use of English","Lexis & Structure - Synonyms","Choose the option that MOST NEARLY MEANS the same as the word underlined: The villagers were APPREHENSIVE about the new policy.","enthusiastic","anxious","ignorant","supportive","B","'Apprehensive' means worried or anxious about a future event. JAMB frequently tests anxiety-related vocabulary.","A: 'Enthusiastic' is the opposite of apprehensive. C: 'Ignorant' relates to knowledge, not emotion. D: 'Supportive' implies positive feelings toward the policy — the opposite."
"38","Use of English","Lexis & Structure - Antonyms","Choose the option MOST NEARLY OPPOSITE in meaning: The minister gave an AMBIGUOUS statement to the press.","vague","misleading","unambiguous","complex","C","'Ambiguous' means open to more than one interpretation. Its antonym is 'unambiguous' (clear and definite). JAMB sometimes uses the exact opposite form as the answer.","A: 'Vague' is actually a synonym of ambiguous. B: 'Misleading' is similar in effect to ambiguous. D: 'Complex' describes difficulty, not the same as ambiguous."
"39","Use of English","Lexis & Structure - Sentence Interpretation (Idiom)","Choose the option that MOST NEARLY MEANS the same as the underlined idiom: 'Tunde always SITS ON THE FENCE whenever there is a controversy.'","avoids taking a clear position","feels indifferent about issues","chooses the winning side","refuses to participate","A","'To sit on the fence' is an idiom meaning to avoid committing to either side of an argument or controversy. JAMB tests idioms extensively.","B: Indifference is close but less precise; fence-sitting implies deliberate avoidance of commitment. C: Choosing the winning side is the opposite — fence-sitters don't choose. D: 'Refuses to participate' is too extreme; a fence-sitter may participate without committing."
"40","Use of English","Lexis & Structure - Synonyms","Choose the option that MOST NEARLY MEANS the same as the word underlined: The CEO's decision to resign was PRECIPITATE.","calculated","delayed","hasty","deliberate","C","'Precipitate' as an adjective means done suddenly and without careful consideration — hasty or rash. This is a classic JAMB vocabulary item that traps those who confuse the adjective with the verb.","A: 'Calculated' is the opposite of precipitate. B: 'Delayed' contradicts the 'sudden' quality of precipitate. D: 'Deliberate' means intentionally careful — the antonym of precipitate."
"41","Use of English","Lexis & Structure - Antonyms","Choose the option MOST NEARLY OPPOSITE in meaning to the underlined word: The new manager was AFFABLE and easy to approach.","friendly","warm","approachable","surly","D","'Affable' means friendly and easy to talk to. Its antonym is 'surly' (bad-tempered, unfriendly) or 'aloof'. JAMB tests personality adjectives frequently.","A: 'Friendly' is a synonym of affable. B: 'Warm' is also a synonym. C: 'Approachable' is a synonym."
"42","Use of English","Lexis & Structure - Antonyms","Choose the option MOST NEARLY OPPOSITE in meaning: The government EXONERATED the accused.","cleared","acquitted","implicated","defended","C","'Exonerate' means to officially free someone from blame or accusation. Its antonym is to 'implicate' — to involve or incriminate someone.","A: 'Cleared' is a synonym of exonerated. B: 'Acquitted' is also a synonym. D: 'Defended' is related but not the antonym; one can defend yet still implicate."
"43","Use of English","Lexis & Structure - Antonyms","Choose the option MOST NEARLY OPPOSITE in meaning to the underlined word: Her GARRULOUS nature made her the life of the party.","talkative","voluble","reticent","animated","C","'Garrulous' means excessively talkative. Its antonym is 'reticent' (reserved, not readily revealing thoughts).","A: 'Talkative' is a synonym of garrulous. B: 'Voluble' is also a synonym (speaking fluently and at length). D: 'Animated' means lively, which may describe a talkative person; not the antonym."
"44","Use of English","Lexis & Structure - Sentence Interpretation (Idiom)","Choose the option that BEST CONVEYS THE MEANING of the underlined portion: 'The politician spoke with a FORKED TONGUE at the rally.'","he spoke very fast","he spoke deceptively, saying one thing while meaning another","he used very difficult vocabulary","he spoke with a foreign accent","B","'Forked tongue' is an idiom derived from the image of a snake's divided tongue, symbolising deceit. To speak with a forked tongue is to be hypocritical or deceptive.","A: Speaking fast is not the meaning. C: Difficult vocabulary is unrelated. D: Foreign accent is unrelated to this idiom."
"45","Use of English","Lexis & Structure - Sentence Interpretation (Idiom)","Choose the option that BEST INTERPRETS the sentence: 'Emeka bit off more than he could chew.'","Emeka ate too much food at once","Emeka took on more responsibility than he could handle","Emeka made promises he could not keep","Emeka failed his examinations","B","'To bite off more than one can chew' idiomatically means to take on a task or commitment that proves too difficult to complete or manage. JAMB tests this idiom pattern regularly.","A: The literal eating interpretation is a classic JAMB distractor. C: Making promises is similar but too narrow; the idiom applies to tasks, not just promises. D: Failing exams is too specific; the idiom is about overcommitment generally."
"46","Use of English","Lexis & Structure - Sentence Interpretation (Idiom)","Choose the option that BEST CONVEYS THE MEANING: 'After the scandal, the senator decided to BURY THE HATCHET with his opponents.'","attack his opponents violently","bribe his opponents","make peace and end the conflict","investigate his opponents","C","'Bury the hatchet' means to make peace, to resolve a conflict and move on. It comes from a Native American tradition of literally burying weapons as a sign of peace.","A: 'Attack violently' is the opposite of burying the hatchet. B: Bribery has nothing to do with this idiom. D: Investigation is unrelated to this idiom."
"47","Use of English","Lexis & Structure - Sentence Interpretation (Idiom)","From the sentence: 'The governor's speech was all SOUND AND FURY, signifying nothing.' The underlined phrase means the speech was _____.","loud and meaningful","full of noise but lacking real substance","inspiring and thought-provoking","brief but impactful","B","'Sound and fury, signifying nothing' is from Shakespeare's Macbeth. As an idiom, it means much noise/anger/activity that produces no meaningful result. JAMB uses literary allusions.","A: 'Loud and meaningful' contradicts the 'signifying nothing' part. C: 'Inspiring' contradicts the emptiness implied. D: The phrase implies the speech was not brief but was loud and meaningless."
"48","Use of English","Lexis & Structure - Sentence Interpretation (Idiom)","Choose the option that BEST INTERPRETS: 'The inspector found a STORM IN A TEACUP in the school.'","a major disaster needing immediate attention","a serious flooding incident","a trivial matter treated as a major crisis","a disciplinary case involving students","C","'A storm in a teacup' means exaggerated fuss about something minor. It implies a trivial situation has been blown out of proportion.","A: 'Major disaster' contradicts the 'trivial' nature implied by 'teacup'. B: A flooding incident is literal and incorrect. D: A disciplinary case is too specific and not what the idiom means."
"49","Use of English","Lexis & Structure - Sentence Interpretation (Idiom)","In the sentence 'He DRAGGED HIS FEET over the contract signing,' the underlined phrase means he _____.","ran away from responsibility","deliberately delayed or was reluctant to act","could not walk properly","was too eager to sign","B","'To drag one's feet' means to act slowly and unwillingly, to delay doing something. JAMB tests body-part idioms extensively.","A: 'Ran away from responsibility' is too extreme. C: The physical interpretation is the classic distractor for idioms. D: 'Too eager to sign' is the opposite of dragging one's feet."
"50","Use of English","Lexis & Structure - Sentence Interpretation (Idiom)","'Ola has been BURNING THE MIDNIGHT OIL to prepare for the examination.' This means Ola _____.","wasted time before the exam","studied late into the night","bought a lamp for his studies","is afraid of the examination","B","'Burning the midnight oil' means working or studying very late at night. It dates from the era when people worked by oil lamps late at night.","A: 'Wasted time' contradicts the preparation context. C: 'Bought a lamp' is the classic literal distractor. D: Fear of the exam is not conveyed by this idiom."
"51","Use of English","Lexis & Structure - Sentence Interpretation (Idiom)","Choose the option that BEST CONVEYS THE MEANING of the underlined portion: 'The young journalist was asked to TURN OVER A NEW LEAF.'","write a new article","change his behaviour for the better","start a new chapter in his book","leave his current organisation","B","'To turn over a new leaf' means to change one's behaviour or attitude, usually for the better. It is one of JAMB's most frequently tested idioms.","A: 'Write a new article' is the literal-page distractor. C: 'A new chapter in his book' is another literal distractor. D: 'Leave his organisation' is not what this idiom conveys."
"52","Use of English","Lexis & Structure - Sentence Interpretation (Idiom)","'I told him in PLAIN ENGLISH that his services were no longer needed.' The underlined expression means the speaker _____.","wrote him a letter in English","spoke to him in a British accent","told him clearly and directly without mincing words","gave him a written warning in English","C","'In plain English' means directly and clearly, without ambiguity or diplomatic language. JAMB tests this under idiomatic usage regularly.","A: A letter is not implied by 'told him'. B: A British accent is irrelevant to this idiom. D: A written warning is not the meaning of this idiom."
"53","Use of English","Lexis & Structure - Sentence Interpretation (Idiom)","'The senator decided to CALL IT A DAY after 20 years in politics.' This idiom means the senator decided to _____.","arrange a meeting before the end of the day","stop what he was doing and retire","make an important announcement","contest one final election","B","'To call it a day' means to stop doing something, especially to retire or end an activity for good (or for the day). In this context, it means retirement from politics.","A: Arranging a meeting is unrelated. C: Making an announcement is not the meaning. D: Contesting one final election contradicts the retirement implied by 'calling it a day'."
"54","Use of English","Basic Grammar & Concord","Choose the CORRECT option: 'The committee _____ yet to submit its report.'","are","is","were","have","B","'Committee' is a collective noun. In British English (used by JAMB), collective nouns take singular verbs when acting as a single unit. 'The committee is' is correct.","A: 'Are' treats the committee as plural individuals — incorrect in this British usage context. C: 'Were' is past tense and plural — incorrect. D: 'Have' is incorrect because 'committee' here acts as a singular unit."
"55","Use of English","Basic Grammar & Concord","Choose the CORRECT option: 'Neither the students nor the teacher _____ ready for the inspection.'","were","was","are","have been","B","With 'neither...nor', the verb agrees with the subject CLOSEST to it (proximity rule). 'Teacher' is singular, so the verb is 'was'. This is a classic JAMB concord trap.","A: 'Were' would agree with a plural final subject — 'teacher' is singular. C: 'Are' is present plural — incorrect for singular 'teacher'. D: 'Have been' is plural perfect — incorrect."
"56","Use of English","Basic Grammar & Concord","Choose the CORRECT option to fill the gap: 'The news _____ very disturbing yesterday.'","were","are","was","have been","C","'News' is an uncountable/singular noun that always takes a singular verb, despite ending in -s. This is one of JAMB's most repeated traps.","A: 'Were' is plural — news is always singular. B: 'Are' is plural present — incorrect for the singular 'news'. D: 'Have been' is plural — incorrect."
"57","Use of English","Basic Grammar & Concord","Choose the CORRECT option: 'He is one of those leaders who _____ always put their followers first.'","has","is","always","have","D","In this construction, the relative clause 'who _____ always put their followers first' modifies 'those leaders' (plural), not 'one'. So the verb must be plural: 'have'.","A: 'Has' is singular — it would incorrectly modify 'one' rather than 'leaders'. B: 'Is' is singular — same error. C: 'Always' is an adverb, not a verb form that fills this gap."
"58","Use of English","Basic Grammar & Concord","Choose the CORRECT sentence:","Each of the boys have their own book.","Each of the boys has his own book.","Each of the boys has their own book.","Each of the boys have his own book.","B","'Each' is always singular; it takes a singular verb ('has') and a singular pronoun ('his'). This is a dual concord trap testing both verb AND pronoun agreement.","A: 'Have their' — both verb and pronoun are plural with singular 'each'. C: 'Has their' — verb correct but pronoun 'their' is plural, making it inconsistent. D: 'Have his' — verb is plural while pronoun is singular — inconsistent."
"59","Use of English","Basic Grammar & Concord","Choose the option that CORRECTLY fills the gap: 'The jury _____ divided on the verdict.'","was","were","is","has been","B","When a collective noun like 'jury' refers to its individual members acting independently (as here — members are divided, i.e., disagreeing), it takes a plural verb. 'Were divided' signals individual disagreement.","A: 'Was' treats the jury as a united unit — but 'divided' signals individual members disagreeing. C: 'Is' is singular present — incorrect here. D: 'Has been' is singular perfect — incorrect for members acting individually."
