Subject,Topic,Q#,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Why Other Options Are Wrong
Chemistry,Chemical Combination,24,"In the law of reciprocal proportions, if element A combines with B, and B combines with C, then A and C will combine in a ratio that is",exactly the same as A:B,the same as or a simple multiple of A:C in their binary compounds with B,always in a 1:1 ratio,proportional to their atomic masses,B,"The law of reciprocal (equivalent) proportions states that when element A and element C both combine with a fixed mass of B, the ratio in which A and C combine with each other is the same or a simple multiple of their individual ratios with B.",A: The ratio A:B is for a different compound. C: The ratio is not necessarily 1:1. D: Atomic masses do not directly determine combining ratios in this law.
Chemistry,Kinetic Theory & Gas Laws,25,Brownian motion provides evidence for the kinetic theory because it shows that,gas molecules have high kinetic energy,molecules of a fluid are in constant random motion,gas molecules move faster at higher temperatures,solids have a fixed lattice structure,B,"Brownian motion (the random, zigzag movement of small visible particles in a fluid) is caused by the unequal bombardment of those particles by the invisible molecules of the fluid. This directly demonstrates that fluid molecules are in constant, random motion.","A: Brownian motion shows motion, not specifically high KE. C: This is true but not what Brownian motion specifically demonstrates. D: Brownian motion applies to liquids and gases, not solids."
Chemistry,Kinetic Theory & Gas Laws,26,A gas occupies a volume of 500cm3 at 27°C and 1 atm. What volume will it occupy at 127°C and 1 atm?,333cm3,666cm3,750cm3,2359cm3,B,Charles's law at constant pressure: V1/T1 = V2/T2. T1 = 27+273 = 300K; T2 = 127+273 = 400K. V2 = (500 × 400)/300 = 666.7 ≈ 667cm3. Closest answer is B.,A: 333cm3 results from incorrect calculation. C: 750cm3 would be the result at a different temperature. D: 2359cm3 is incorrect application of the formula.
Chemistry,Kinetic Theory & Gas Laws,27,The ideal gas equation PV = nRT is satisfied most closely by a real gas at,high pressure and low temperature,low pressure and high temperature,low pressure and low temperature,high pressure and high temperature,B,"Real gases behave most ideally (molecules far apart, negligible intermolecular forces, negligible molecular volume) at low pressure (molecules spread far apart) and high temperature (high kinetic energy overcomes intermolecular attractions).","A: High pressure compresses molecules, making their volume significant — deviation from ideal. C: Low temperature increases intermolecular attraction, causing deviation. D: High pressure causes significant deviation."
Chemistry,Kinetic Theory & Gas Laws,28,Graham's law of diffusion states that the rate of diffusion of a gas is,directly proportional to its molecular mass,inversely proportional to the square root of its molecular mass,directly proportional to its temperature,inversely proportional to its pressure,B,Graham's law: r ∝ 1/√M. Lighter gases diffuse faster than heavier gases. The rate is inversely proportional to the square root of the molar mass.,A: This is the inverse of the correct relationship. C: Temperature affects diffusion but this is not Graham's law. D: Pressure effect on diffusion is not Graham's law.
Chemistry,Kinetic Theory & Gas Laws,29,The vapour density of a gas is 22. What is its relative molecular mass?,11,22,44,88,C,"Relative molecular mass = 2 × vapour density = 2 × 22 = 44. This relationship holds because vapour density is the mass of a given volume of gas relative to the same volume of hydrogen at the same conditions, and H2 has molecular mass 2.",A: 11 is half the vapour density. B: 22 equals the vapour density but not the molecular mass. D: 88 is four times the vapour density.
Chemistry,Kinetic Theory & Gas Laws,30,A gas at STP occupies 11.2dm3. How many moles of the gas are present?,0.5 mol,1.0 mol,2.0 mol,22.4 mol,A,"At STP, 1 mole of any gas occupies 22.4dm3. Moles = 11.2/22.4 = 0.5 mol.",B: 1.0 mol would occupy 22.4dm3. C: 2.0 mol would occupy 44.8dm3. D: 22.4 mol would occupy an enormous volume.
Chemistry,Kinetic Theory & Gas Laws,31,Which gas law is applicable when a balloon is compressed at constant temperature?,Charles's law,Dalton's law,Boyle's law,Graham's law,C,"Boyle's law states that at constant temperature, the pressure of a fixed mass of gas is inversely proportional to its volume (PV = constant). Compressing a balloon at constant temperature is a direct application of Boyle's law.",A: Charles's law relates volume to temperature at constant pressure. B: Dalton's law is about partial pressures of gas mixtures. D: Graham's law is about rates of diffusion.
Chemistry,Kinetic Theory & Gas Laws,32,"At constant volume, when the temperature of a gas is doubled (in Kelvin), the pressure",halves,doubles,remains constant,quadruples,B,"At constant volume, Gay-Lussac's Pressure Law: P/T = constant. If T doubles (in Kelvin), P doubles. P2 = P1 × T2/T1 = P1 × 2T1/T1 = 2P1.",A: Halving pressure would occur if temperature halved. C: Pressure changes with temperature at constant volume (unlike Boyle's law). D: Quadrupling would require temperature to quadruple.
Chemistry,Kinetic Theory & Gas Laws,33,Which of the following correctly describes the process of condensation in terms of kinetic theory?,Molecules gain energy and move apart,"Molecules lose energy, slow down, and come closer together",Molecules break apart into atoms,Molecules increase in volume,B,"Condensation (gas to liquid) occurs when gas molecules lose kinetic energy (cool down), slow down, come closer together, and intermolecular attractive forces become sufficient to hold them in the liquid state.","A: Gaining energy describes evaporation (liquid to gas). C: Condensation is a physical change; no molecular bonds break. D: Volume decreases, not increases, during condensation."
Chemistry,Kinetic Theory & Gas Laws,34,The partial pressure of nitrogen in a mixture of gases is 0.8 atm and that of oxygen is 0.2 atm. The total pressure of the mixture is,0.4 atm,0.6 atm,1.0 atm,1.6 atm,C,Dalton's Law of Partial Pressures: P_total = P_N2 + P_O2 = 0.8 + 0.2 = 1.0 atm.,"A: 0.4 atm is the average, not the total. B: 0.6 atm has no basis. D: 1.6 atm would result from adding incorrectly."
Chemistry,Kinetic Theory & Gas Laws,35,Ammonia diffuses faster than hydrogen chloride gas because ammonia has a,higher boiling point,lower molecular mass,higher pressure,larger molecule,B,"By Graham's law, rate ∝ 1/√M. Molar mass of NH3 = 17g/mol; molar mass of HCl = 36.5g/mol. Since NH3 has a lower molar mass, it diffuses faster.","A: Boiling point doesn't determine diffusion rate in the gas phase. C: Pressure is not the factor in Graham's law comparison. D: Larger molecules diffuse more slowly, not faster."
Chemistry,Kinetic Theory & Gas Laws,36,"Using the ideal gas equation, what is the volume of 2 moles of gas at 27°C and pressure of 2 atm? (R = 0.082 L·atm·mol^-1·K^-1)",12.3 L,24.6 L,49.2 L,6.15 L,B,PV = nRT; V = nRT/P = (2 × 0.082 × 300)/2 = 49.2/2 = 24.6 L. (T = 27+273 = 300K),A: 12.3 L would be for 1 mole at 1 atm. C: 49.2 L = nRT without dividing by P. D: 6.15 L is incorrect.
Chemistry,Kinetic Theory & Gas Laws,37,Which of the following processes involves a change from liquid to vapour below the boiling point?,Condensation,Evaporation,Sublimation,Freezing,B,"Evaporation is the conversion of a liquid to vapour at temperatures below the boiling point. It occurs at the surface of the liquid and is slower than boiling, which occurs throughout the liquid at the boiling point.",A: Condensation is vapour to liquid. C: Sublimation is solid to vapour (bypassing liquid). D: Freezing is liquid to solid.
Chemistry,Kinetic Theory & Gas Laws,38,The atomicity of ozone (O3) is,1,2,3,6,C,"Atomicity is the number of atoms in one molecule of an element. Ozone (O3) contains 3 oxygen atoms per molecule, so its atomicity is 3.","A: Atomicity 1 = monoatomic gases like noble gases. B: Atomicity 2 = diatomic like O2, N2. D: 6 would be a hexatomic molecule."
Chemistry,Atomic Structure & Bonding,39,Which scientist discovered the electron through cathode ray tube experiments?,Rutherford,Bohr,J.J. Thomson,Millikan,C,"J.J. Thomson discovered the electron in 1897 through experiments with cathode rays, demonstrating that they were negatively charged particles (later called electrons) common to all matter.",A: Rutherford discovered the nucleus through the gold foil experiment. B: Bohr proposed the planetary model of the atom with quantised energy levels. D: Millikan measured the charge of the electron through the oil drop experiment.
Chemistry,Atomic Structure & Bonding,40,An element has atomic number 17. Its electron configuration is,"2, 8, 7","2, 8, 8","2, 7, 8","2, 15",A,"Atomic number 17 means 17 electrons. Filled in order: 1st shell (2) + 2nd shell (8) + 3rd shell (7) = 2, 8, 7. This is chlorine.","B: 2,8,8 = 18 electrons (Argon, Z=18). C: 2,7,8 fills shells incorrectly; shells fill from inner to outer. D: 2,15 exceeds the maximum 8 for the 2nd shell."
Chemistry,Atomic Structure & Bonding,41,The mass number of an atom is 40 and its atomic number is 18. The number of neutrons in the atom is,18,22,40,58,B,Number of neutrons = mass number - atomic number = 40 - 18 = 22.,"A: 18 is the number of protons (and electrons), not neutrons. C: 40 is the mass number. D: 58 = 40 + 18, which is the incorrect operation."
Chemistry,Atomic Structure & Bonding,42,Isotopes of the same element have the same,mass number,number of neutrons,atomic number,physical properties,C,Isotopes are atoms of the same element with the same atomic number (same number of protons) but different mass numbers (different number of neutrons). The atomic number determines the element.,"A: Isotopes have DIFFERENT mass numbers. B: Isotopes have DIFFERENT numbers of neutrons. D: Physical properties (like density, melting point) differ slightly between isotopes."
Chemistry,Atomic Structure & Bonding,43,The p-orbital has a shape that is best described as,Spherical,Dumbbell-shaped,Ring-shaped,Tetrahedral,B,"The p-orbital is dumbbell-shaped (or figure-8 shaped), with two lobes on opposite sides of the nucleus along one axis. There are three p-orbitals (px, py, pz) oriented along the three coordinate axes.","A: Spherical describes the s-orbital. C: No common atomic orbital is ring-shaped. D: Tetrahedral refers to molecular geometry (e.g., CH4), not orbital shape."
Chemistry,Atomic Structure & Bonding,44,Electronegativity generally increases across a period because,atomic radius increases across the period,"nuclear charge increases while atomic radius decreases, pulling electrons more strongly",the number of electron shells increases,ionisation energy decreases across the period,B,"Across a period, the nuclear charge increases (more protons) while electrons are added to the same shell, causing atomic radius to decrease. The higher nuclear charge in a smaller atom attracts shared electrons more strongly, increasing electronegativity.",A: Atomic radius actually decreases across a period. C: The number of electron shells stays the same across a period. D: Ionisation energy generally increases across a period.
Chemistry,Atomic Structure & Bonding,45,Which of the following best describes an ionic (electrovalent) bond?,Sharing of electrons between two non-metal atoms,"Transfer of electrons from a metal to a non-metal, forming oppositely charged ions",The attraction between a hydrogen atom and an electronegative atom,The overlap of atomic orbitals,B,"Ionic bonding involves the complete transfer of one or more electrons from a metal atom to a non-metal atom, producing a cation (positive ion) and an anion (negative ion) which attract each other electrostatically.",A: This describes a covalent bond. C: This describes hydrogen bonding. D: Orbital overlap describes covalent bond formation.
Chemistry,Atomic Structure & Bonding,46,The shape of an ammonia (NH3) molecule is described as pyramidal because,it has four bonding pairs of electrons,it has three bonding pairs and one lone pair of electrons,nitrogen has an atomic number of 7,it has three identical N-H bonds and no lone pairs,B,"In NH3, the central N atom has 3 bond pairs (with H atoms) and 1 lone pair. The four electron pairs arrange tetrahedrally, but the shape of the MOLECULE (ignoring the lone pair) is pyramidal (trigonal pyramidal).",A: Four bonding pairs gives tetrahedral shape (like CH4). C: Atomic number alone doesn't determine molecular shape. D: NH3 does have a lone pair on nitrogen.
Chemistry,Atomic Structure & Bonding,47,A co-ordinate (dative covalent) bond is formed when,two atoms share one electron each,both electrons in the shared pair come from one atom,electrons are completely transferred from one atom to another,atoms share more than two electrons,B,"In a coordinate (dative) bond, both electrons of the shared pair are donated by one atom (the donor) to another (the acceptor). For example, in [Cu(NH3)4]2+, the nitrogen lone pair in NH3 is donated to Cu2+.","A: This describes a regular (non-coordinate) covalent bond. C: This describes an ionic bond. D: Double/triple bonds involve sharing 4 or 6 electrons between the two atoms, but each contributes equal numbers."
Chemistry,Atomic Structure & Bonding,48,The element with atomic number 11 belongs to which group of the periodic table?,Group II,Group VII,Group I,Group 0,C,"Element with Z=11 is sodium: electron configuration 2,8,1. Having 1 electron in the outermost shell places it in Group I (alkali metals).",A: Group II elements have 2 outermost electrons. B: Group VII (halogens) have 7 outermost electrons. D: Group 0 (noble gases) have complete outer shells.
Chemistry,Atomic Structure & Bonding,49,Van der Waals' forces are,strong permanent dipole interactions between ionic compounds,weak intermolecular forces arising from temporary induced dipoles,the forces holding atoms together in a metal,covalent bonds between non-polar molecules,B,"Van der Waals' forces (London dispersion forces) are weak temporary intermolecular forces caused by instantaneous polarization of electron clouds, inducing dipoles in neighboring molecules. They increase with molecular mass.","A: Strong permanent dipole interactions describe hydrogen bonding or dipole-dipole interactions. C: Forces holding metals together are metallic bonds. D: Covalent bonds hold atoms within a molecule, not between molecules."
Chemistry,Atomic Structure & Bonding,50,Moseley's contribution to atomic theory was the establishment of,the nuclear model of the atom,atomic number as the more fundamental property than atomic mass,the planetary model with quantised orbits,the existence of neutrons,B,"Henry Moseley (1913) used X-ray spectra to show that elements are better arranged by their atomic number (nuclear charge/proton number) rather than by atomic mass, fixing anomalies in Mendeleev's periodic table.",A: The nuclear model was Rutherford's. C: Quantised orbits were proposed by Bohr. D: Neutrons were discovered by Chadwick.
Chemistry,Atomic Structure & Bonding,51,The first ionization energy of magnesium is lower than that of aluminium but higher than that of sodium because,magnesium has more electrons than sodium,magnesium has a greater nuclear charge than sodium but a full 3s orbital (3s2) that is more stable than Al's 3p1,aluminium is a heavier metal,sodium is more reactive than magnesium,B,"Ionization energy generally increases across period 3 (Na→Mg→Al). However, Mg has higher IE than Al because Mg has a completely filled 3s2 subshell, which is more stable. Al has one electron in 3p1 which is higher in energy and easier to remove.","A: Number of electrons alone doesn't explain the trend anomaly. C: Being heavier does not determine ionization energy. D: Reactivity is a consequence of ionization energy, not the explanation."
Chemistry,Atomic Structure & Bonding,52,Carbon dioxide (CO2) molecule is linear because,carbon has 4 bonds,the two double bonds and no lone pairs on carbon give 180° bond angle,oxygen is more electronegative than carbon,it is a non-polar molecule,B,The central carbon in CO2 forms two double bonds (O=C=O) with no lone pairs. The VSEPR model predicts linear geometry (bond angle 180°) when the central atom has two bonding groups and no lone pairs.,"A: Having 4 bonds means tetrahedral if they are 4 single bonds with no lone pairs. C: Electronegativity affects polarity, not molecular shape directly. D: Linearity causes CO2 to be non-polar, but this is the consequence, not the cause."
Chemistry,Atomic Structure & Bonding,53,The complex ion [Fe(CN)6]3- contains which type of bond between Fe and CN-?,Ionic bond,Metallic bond,Co-ordinate (dative) covalent bond,Hydrogen bond,C,"In the complex [Fe(CN)6]3-, the CN- ligands donate lone pairs of electrons to the Fe3+ central ion, forming coordinate (dative) covalent bonds. This is characteristic of complex/coordination compounds.","A: Ionic bonds involve complete electron transfer; here electron pairs are shared. B: Metallic bonds occur in metals between metal atoms, not in complexes. D: Hydrogen bonding requires hydrogen attached to N, O, or F."
Chemistry,Atomic Structure & Bonding,54,Hydrogen bonding occurs between molecules of,CH4,CCl4,HF,H2S,C,"Hydrogen bonding requires a hydrogen atom bonded to a highly electronegative atom (F, O, or N). In HF, hydrogen is bonded to fluorine (the most electronegative element), creating strong hydrogen bonds between HF molecules.","A: In CH4, carbon is not electronegative enough to create hydrogen bonds. B: CCl4 has no hydrogen atoms bonded to electronegative atoms. D: Sulfur is not electronegative enough (less than N, O, F) to form true hydrogen bonds."
Chemistry,Atomic Structure & Bonding,55,Chlorine has two isotopes: 35Cl (75%) and 37Cl (25%). The relative atomic mass of chlorine is,35.5,36.0,37.0,35.0,A,RAM = (35 × 75 + 37 × 25) / 100 = (2625 + 925) / 100 = 3550/100 = 35.5,B: 36.0 would result from a 50/50 mixture. C: 37.0 is the mass of the heavier isotope alone. D: 35.0 is the mass of the lighter isotope alone.
Chemistry,Atomic Structure & Bonding,56,The periodic table is arranged in order of increasing,atomic mass,atomic radius,atomic number,electronegativity,C,The modern periodic table is arranged in order of increasing atomic number (number of protons). This was established by Moseley and resolves the anomalies in Mendeleev's mass-based arrangement.,A: Mendeleev arranged by atomic mass; the modern table uses atomic number. B: Atomic radius decreases across periods and increases down groups — not a simple ordering principle. D: Electronegativity varies in a complex pattern and is not the basis of arrangement.
Chemistry,Atomic Structure & Bonding,57,Metallic bonding is described as a special type of which bond?,Ionic bond,Hydrogen bond,Covalent bond,Van der Waals force,C,"According to the JAMB syllabus, metallic bonding is described as a special type of covalency. In metals, the valence electrons are delocalized (shared) across all metal cations in a 'sea of electrons,' which is a form of electron sharing (covalency).",A: Ionic bonds involve electron transfer between ions; metals do not form oppositely charged ions. B: Hydrogen bonds are between H and electronegative atoms. D: Van der Waals forces are weak temporary forces between molecules.
Chemistry,Atomic Structure & Bonding,58,Rutherford's gold foil experiment led to the conclusion that,electrons are present in all atoms,"atoms contain a small, dense, positively charged nucleus surrounded by mostly empty space",atoms have quantized energy levels,atoms are indivisible particles,B,"Rutherford fired alpha particles at gold foil. Most passed straight through (empty space), some deflected at small angles, and a very few bounced back. He concluded the atom has a tiny, dense, positively charged nucleus at its centre.","A: Electrons were discovered by Thomson before Rutherford's experiment. C: Quantized energy levels were proposed by Bohr, extending Rutherford's model. D: Dalton proposed the indivisible atom; Rutherford showed internal structure."
Chemistry,Air and Water,59,The percentage of nitrogen in dry air is approximately,21%,78%,0.93%,0.03%,B,"Dry air is approximately 78% nitrogen, 21% oxygen, 0.93% argon, 0.03% carbon dioxide, and traces of other gases.","A: 21% is the percentage of oxygen, not nitrogen. C: 0.93% is the percentage of argon. D: 0.03% is approximately the percentage of CO2."
Chemistry,Air and Water,60,Temporary hardness in water is caused by dissolved,calcium sulphate and magnesium sulphate,calcium chloride and magnesium chloride,calcium hydrogen carbonate and magnesium hydrogen carbonate,sodium chloride,C,Temporary hardness is caused by dissolved calcium hydrogen carbonate Ca(HCO3)2 and magnesium hydrogen carbonate Mg(HCO3)2. It is called 'temporary' because it can be removed by simply boiling.,A: CaSO4 and MgSO4 cause PERMANENT hardness. B: CaCl2 and MgCl2 cause PERMANENT hardness. D: Sodium chloride does not cause water hardness.
Chemistry,Air and Water,61,"When temporary hard water is boiled, the precipitate formed is",Ca(HCO3)2,CaSO4,CaCO3,Ca(OH)2,C,"Boiling decomposes calcium hydrogen carbonate: Ca(HCO3)2 → CaCO3↓ + H2O + CO2. The insoluble CaCO3 precipitates, removing the hardness. This is the limescale formed in kettles.","A: Ca(HCO3)2 is the original dissolved salt, not the precipitate. B: CaSO4 is the cause of permanent hardness. D: Ca(OH)2 (limewater) is used as a water softener but is not produced by boiling."
