"Subject","Topic","Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation"
"Physics","Elasticity — Hooke's Law & Young's Modulus","A spring of natural length 20 cm is extended by 5 cm when a force of 10 N is applied. The spring constant is","200 Nm⁻¹","2 Nm⁻¹","0.5 Nm⁻¹","50 Nm⁻¹","A","Correct: Hooke's law states F = ke, so k = F/e = 10 N / 0.05 m = 200 Nm⁻¹ (note that extension must be converted to metres). B is wrong because 2 Nm⁻¹ = F/e uses the extension in cm without proper unit conversion. C is wrong because 0.5 Nm⁻¹ inverts the formula (e/F instead of F/e). D is wrong because 50 Nm⁻¹ incorrectly uses e = 0.2 m, the total length, rather than just the extension."
"Physics","Elasticity — Hooke's Law & Young's Modulus","The elastic limit of a material is the point beyond which","The material obeys Hooke's law","The extension is proportional to force","The material does not return to its original shape when the load is removed","The material breaks immediately","C","Correct: Beyond the elastic limit, permanent deformation occurs, and the material enters the plastic region where it no longer obeys Hooke's law and doesn't fully recover its original shape. A is wrong because Hooke's law is obeyed BELOW the elastic limit, not beyond it. B is wrong because proportionality between extension and force also holds only BELOW the elastic limit. D is wrong because breaking occurs at the breaking point, which lies beyond the elastic limit — not at the limit itself."
"Physics","Elasticity — Hooke's Law & Young's Modulus","The work done in stretching a spring by extension e with spring constant k is","ke","2ke","½ke²","ke²","C","Correct: Work done equals the area under the F-e graph = ½ × F × e = ½ × ke × e = ½ke², which represents the elastic potential energy stored in the spring. A is wrong because ke equals the force itself, not the work done. B is wrong because 2ke incorrectly doubles the force without proper derivation. D is wrong because ke² misses the ½ factor that comes from the triangular area under the graph."
"Physics","Elasticity — Hooke's Law & Young's Modulus","Young's modulus is defined as the ratio of","Stress to strain","Strain to stress","Force to area","Extension to original length","A","Correct: Young's Modulus E = Stress/Strain = (F/A)/(e/L), which measures the stiffness of a material within the elastic region, with units of Nm⁻² or Pa. B is wrong because strain/stress is the compliance, the inverse of Young's modulus. C is wrong because force/area is simply stress, not Young's modulus. D is wrong because extension/original length is strain, only one component of the full ratio."
"Physics","Pressure","The pressure at a depth of 5 m in water is approximately (density of water = 1000 kgm⁻³, g = 10 ms⁻²)","50,000 Pa","5,000 Pa","500,000 Pa","50 Pa","A","Correct: Pressure P = ρgh = 1000 × 10 × 5 = 50,000 Pa = 50 kPa, the gauge pressure due to the water column alone. B is wrong because 5,000 Pa = ρg × 0.5 uses 0.5 m instead of the correct 5 m depth. C is wrong because 500,000 Pa is off by a factor of 10. D is wrong because 50 Pa omits both the density and g values entirely."
"Physics","Pressure","Pascal's principle states that pressure applied to an enclosed fluid is","Transmitted equally to all parts of the fluid","Absorbed by the fluid","Proportional to the depth of the fluid","Inversely proportional to the volume","A","Correct: Pascal's principle states that pressure exerted on a confined fluid is transmitted undiminished in all directions throughout the fluid, forming the basis of hydraulic machines. B is wrong because fluids transmit, rather than absorb, pressure. C is wrong because pressure proportional to depth describes hydrostatic pressure, a different property from Pascal's principle. D is wrong because pressure inversely proportional to volume actually describes Boyle's law for gases."
"Physics","Pressure","A simple mercury barometer reads 760 mm Hg. The atmospheric pressure in Pascals is (density of mercury = 13,600 kgm⁻³, g = 10 ms⁻²)","1.01 × 10⁵ Pa","1.36 × 10⁵ Pa","7.6 × 10⁴ Pa","0.76 × 10³ Pa","A","Correct: P = ρgh = 13600 × 10 × 0.76 = 103,360 Pa ≈ 1.01 × 10⁵ Pa, close to standard atmospheric pressure of approximately 101,325 Pa. B is wrong because it results from an incorrect depth or calculation error. C is wrong because 7.6 × 10⁴ omits the density of mercury from the calculation. D is wrong because 0.76 × 10³ = 760 Pa simply converts mm to m without applying ρg."
"Physics","Pressure","As altitude increases, atmospheric pressure","Increases because the atmosphere is denser","Remains constant","Decreases because there is less air above","Increases then decreases","C","Correct: Atmospheric pressure is caused by the weight of the air above a point; as altitude increases, there is less air above, so the pressure decreases, which is why mountain climbers need supplemental oxygen. A is wrong because the atmosphere actually becomes LESS dense at higher altitude, so pressure decreases. B is wrong because pressure clearly varies with altitude — it doesn't stay constant. D is wrong because pressure decreases monotonically with altitude within the troposphere, not in an increase-then-decrease pattern."
"Physics","Pressure","A hydraulic press has a small piston of area 10 cm² and a large piston of area 200 cm². If a force of 50 N is applied to the small piston, the force exerted by the large piston is","1000 N","2.5 N","500 N","250 N","A","Correct: By Pascal's principle, F₁/A₁ = F₂/A₂, so F₂ = F₁ × A₂/A₁ = 50 × 200/10 = 50 × 20 = 1000 N. B is wrong because 2.5 N inverts the area ratio used in the calculation. C is wrong because 500 N uses an incorrect ratio of 10 instead of 20. D is wrong because 250 N introduces an extraneous factor not justified by the setup."
"Physics","Pressure","A barometer can be used as an altimeter because","Mercury expands with altitude","Atmospheric pressure decreases with increasing altitude in a measurable way","Temperature decreases with altitude","Mercury pressure increases at higher altitudes","B","Correct: Since atmospheric pressure decreases predictably with altitude, a calibrated barometer reading can be converted into an altitude measurement, which is how aircraft altimeters function. A is wrong because mercury's density changes only slightly with temperature, not altitude — this isn't the working principle. C is wrong because temperature change with altitude describes the lapse rate, not the altimeter's operating principle. D is wrong because mercury column pressure actually DECREASES at higher altitudes, since less atmospheric pressure supports less mercury."
"Physics","Liquids at Rest","A solid displaces 200 cm³ of water when fully submerged. The upthrust on the solid is (density of water = 1000 kgm⁻³, g = 10 ms⁻²)","2 N","20 N","0.2 N","200 N","A","Correct: Upthrust = weight of fluid displaced = ρVg = 1000 × 200×10⁻⁶ × 10 = 1000 × 0.0002 × 10 = 2 N. B is wrong because 20 N uses V = 2000 cm³ or an extra factor of 10. C is wrong because 0.2 N leaves V in cm³ instead of converting to m³, a unit error. D is wrong because 200 N omits g or uses the wrong volume conversion."
"Physics","Liquids at Rest","Archimedes' principle states that when a body is partially or fully immersed in a fluid, the upthrust equals","The weight of the body","The volume of fluid displaced","The weight of fluid displaced","The density of the fluid","C","Correct: Archimedes' principle states that upthrust (buoyancy force) equals the weight of fluid displaced by the body, measured in newtons (a force), not volume. A is wrong because the body sinks or floats depending on whether its weight equals the upthrust — they're only equal when the body is floating. B is wrong because volume displaced is used to calculate upthrust, but is not itself the upthrust. D is wrong because density alone doesn't give the upthrust — volume and g are also required."
"Physics","Liquids at Rest","A body of mass 100 g weighs 0.8 N when immersed in a liquid. Its weight in air is 1.0 N (g = 10 ms⁻²). The relative density of the liquid is","4","0.25","2","0.5","C","Correct: Upthrust = Weight in air − Weight in liquid = 1.0 − 0.8 = 0.2 N. Working through the volume and density relationships as shown in the source explanation (with body density = 10,000 kg/m³ and equal-volume water weight = 0.1 N), the relative density = 0.2/0.1 = 2. A is wrong because 4 incorrectly divides weight in air by upthrust in the wrong combination. B is wrong because 0.25 inverts the correct ratio. D is wrong because 0.5 uses an incorrect ratio arrangement."
"Physics","Liquids at Rest","A ship floats because","Iron is less dense than water","The average density of the ship (including air spaces) is less than or equal to that of water","The ship is very heavy","Sea water has high salt content","B","Correct: A ship floats because its large hollow structure, with air inside, gives it an average density less than water; by the law of flotation, it displaces water equal to its own weight. A is wrong because iron IS denser than water — a solid iron block would sink. C is wrong because weight alone doesn't determine floating — average density relative to water is what matters. D is wrong because salt increases water density, which helps buoyancy but isn't the actual reason ships float."
"Physics","Temperature and Its Measurement","The temperature 37°C on the Kelvin scale is","310 K","236 K","37 K","373 K","A","Correct: K = °C + 273 = 37 + 273 = 310 K, which is also normal human body temperature. B is wrong because 236 K involves an incorrect subtraction. C is wrong because 37 K simply forgets to add 273. D is wrong because 373 K = 100 + 273 is the boiling point of water, not 37°C."
"Physics","Temperature and Its Measurement","A thermometric property must","Vary linearly and measurably with temperature","Only change at fixed temperatures","Be a chemical property of matter","Remain constant over a temperature range","A","Correct: A thermometric property must vary continuously, measurably, and reproducibly with temperature, ideally in a linear way so the thermometer can be calibrated with uniform divisions. B is wrong because only changing at fixed temperatures would make a useless thermometer, unable to read intermediate temperatures. C is wrong because chemical properties are typically irreversible and unsuitable for repeated temperature measurement. D is wrong because a constant property cannot be used to measure temperature change at all."
"Physics","Temperature and Its Measurement","Two fixed points used to calibrate a thermometer are","Boiling point of water and body temperature","Ice point (0°C) and steam point (100°C) at standard pressure","Absolute zero and body temperature","Room temperature and boiling point of oil","B","Correct: The two standard fixed points for calibration on the Celsius scale are the lower fixed point (0°C, melting ice at standard pressure) and upper fixed point (100°C, boiling water at standard pressure). A is wrong because body temperature is not a standard, internationally agreed fixed point. C is wrong because although absolute zero is a fixed point on the Kelvin scale, body temperature is not standard for calibration. D is wrong because room temperature and oil's boiling point are not internationally agreed fixed points."
"Physics","Temperature and Its Measurement","A clinical thermometer has a constriction above the bulb. This is to","Prevent the mercury from returning to the bulb after removal from patient","Increase the sensitivity of the thermometer","Allow the thermometer to measure below 35°C","Prevent breakage of the thermometer","A","Correct: The constriction (kink) prevents mercury from flowing back into the bulb once the thermometer is removed from the patient's body, allowing the reading to be taken at leisure. B is wrong because sensitivity is determined by the bulb size and bore width, not the constriction. C is wrong because a clinical thermometer is specifically designed for the body temperature range (35–42°C) — the constriction doesn't extend this range. D is wrong because the constriction has nothing to do with preventing breakage."
"Physics","Thermal Expansion","A steel rod is 2 m long at 20°C. Its linear expansivity is 1.2 × 10⁻⁵ K⁻¹. The increase in length when heated to 120°C is","2.4 × 10⁻³ m","2.4 × 10⁻⁴ m","2.4 × 10⁻² m","2.4 × 10⁻⁵ m","A","Correct: ΔL = αL₀ΔT = 1.2 × 10⁻⁵ × 2 × (120 − 20) = 1.2 × 10⁻⁵ × 2 × 100 = 2.4 × 10⁻³ m. B is wrong because it uses ΔT = 10 instead of the correct 100. C is wrong because it misplaces a power of 10. D is wrong because it uses only α without properly incorporating L₀ and ΔT."
"Physics","Thermal Expansion","The relationship between linear expansivity (α), area expansivity (β) and volume expansivity (γ) is","β = α and γ = 2α","β = 2α and γ = 3α","β = 3α and γ = 2α","β = α/2 and γ = α/3","B","Correct: For isotropic materials, β ≈ 2α (area expansivity is twice linear expansivity) and γ ≈ 3α (volume expansivity is three times linear expansivity), approximations that hold for small expansions. A is wrong because it reverses the correct relationships. C is wrong because it swaps the correct values for β and γ. D is wrong because it inverts the relationship entirely."
"Physics","Thermal Expansion","Expansion joints are provided in railway lines because","They make the tracks look better","Thermal expansion in hot weather would cause buckling without room to expand","They reduce the weight of the track","They absorb vibrations from trains","B","Correct: Steel tracks expand as temperature rises; without expansion gaps, the expanding steel has nowhere to go and buckles, causing dangerous deformations, so the gaps provide space for thermal expansion. A is wrong because aesthetics are irrelevant to this engineering safety consideration. C is wrong because expansion joints don't affect the overall weight of the track. D is wrong because vibration absorption is handled by ballast and sleepers, not expansion joints."
"Physics","Thermal Expansion","Water has anomalous expansion because","It contracts on heating from 0°C to 4°C, reaching maximum density at 4°C","It expands on cooling from 4°C to 0°C, unlike most liquids","Both A and B are aspects of water's anomalous behavior","It becomes ice at 0°C and ice is less dense than water","C","Correct: Water's anomalous expansion means it contracts and increases in density from 0°C to 4°C (reaching maximum density at 4°C), then expands normally above that; it also expands on cooling below 4°C, due to hydrogen bonding and the crystal structure of ice. A is only partially correct as an answer because the cooling behavior below 4°C is also anomalous. B is only partially correct as an answer because the heating behavior above 4°C is also part of the anomaly. D is wrong because ice being less dense than water is a RESULT of anomalous expansion, not an explanation of it."
"Physics","Thermal Expansion","The real expansivity of a liquid is related to apparent expansivity by","Real = Apparent + Expansivity of container material","Real = Apparent − Expansivity of container","Real = Apparent × Expansivity of container","Real = Apparent / Expansivity of container","A","Correct: Apparent expansivity is what's observed, i.e. expansion of liquid minus expansion of container, so Real expansivity = Apparent expansivity + Cubic expansivity of the container glass. B is wrong because this would give a value less than the apparent expansivity, which is incorrect. C and D are wrong because multiplication or division have no physical basis in this relationship."
"Physics","Gas Laws","A gas at 27°C has a volume of 5 L at a pressure of 2 atm. What is its volume at 127°C and 4 atm?","3.33 L","2.5 L","10 L","6.67 L","A","Correct: Using PV/T = constant: T₁ = 300 K, T₂ = 400 K. V₂ = P₁V₁T₂/(T₁P₂) = (2 × 5 × 400)/(300 × 4) = 4000/1200 = 3.33 L. B is wrong because 2.5 L results from not converting temperatures to Kelvin. C is wrong because 10 L ignores the doubling of pressure. D is wrong because 6.67 L misapplies the combined gas law."
"Physics","Gas Laws","Boyle's law states that for a fixed mass of gas at constant temperature","Pressure is directly proportional to volume","Pressure is inversely proportional to volume","Volume is directly proportional to temperature","Pressure is directly proportional to temperature","B","Correct: Boyle's law states PV = constant at constant T, so P ∝ 1/V — when volume decreases, pressure increases proportionally, as in compressed air, in an isothermal process. A is wrong because pressure is INVERSELY, not directly, proportional to volume. C is wrong because volume proportional to temperature is Charles' law, which holds at constant P, not constant T. D is wrong because pressure proportional to temperature is the pressure law, which holds at constant V."
"Physics","Gas Laws","The temperature at which a gas would theoretically have zero volume or zero pressure is called","Critical temperature","Absolute zero","Melting point","Dew point","B","Correct: Absolute zero (0 K = −273°C) is the theoretical temperature at which gas molecules have no thermal kinetic energy, so gas pressure and volume would theoretically reach zero at this point. A is wrong because critical temperature is the point above which a gas cannot be liquefied by pressure alone. C is wrong because melting point is where a solid changes to liquid. D is wrong because dew point is where water vapour begins to condense."
"Physics","Gas Laws","An ideal gas occupies 3 L at 300 K and 1 atm. The number of moles of gas is (R = 8.314 Jmol⁻¹K⁻¹, 1 atm = 101325 Pa)","0.122 mol","1.22 mol","12.2 mol","0.0122 mol","A","Correct: PV = nRT, so n = PV/RT = (101325 × 0.003)/(8.314 × 300) = 303.975/2494.2 = 0.122 mol. B is wrong because 1.22 mol is off by a factor of 10, as if V = 30 L had been used. C is wrong because 12.2 mol is off by a factor of 100. D is wrong because 0.0122 is off by a factor of 10 in the opposite direction."
"Physics","Gas Laws","Charles' law states that at constant pressure, the volume of a fixed mass of gas is","Inversely proportional to its Kelvin temperature","Directly proportional to its Kelvin temperature","Directly proportional to its Celsius temperature","Independent of temperature","B","Correct: Charles' law states V/T = constant at constant P, so V ∝ T (in Kelvin); Kelvin must be used because the Celsius scale doesn't start from absolute zero. A is wrong because inverse proportionality to temperature is Boyle's law's relationship for pressure, not volume. C is wrong because Celsius temperatures are invalid here — at 0°C a gas still has volume, so V ∝ T(°C) is false. D is wrong because volume clearly changes with temperature, so it is not independent."
"Physics","Gas Laws","A van der Waals gas differs from an ideal gas because","Its molecules have finite size and experience intermolecular forces","Its molecules have zero size","It obeys PV = nRT exactly","Temperature has no effect on it","A","Correct: The van der Waals equation (P + a/V²)(V − b) = nRT corrects for the finite molecular volume (b) and intermolecular attractive forces (a); real gases deviate from ideal behavior especially at high pressure and low temperature. B is wrong because zero molecular size is actually an IDEAL gas assumption. C is wrong because obeying PV = nRT exactly is the definition of an ideal gas, not a van der Waals gas. D is wrong because temperature affects the behavior of all gases."
"Physics","Quantity of Heat & Change of State","5 kg of water is heated from 20°C to 80°C. The heat energy absorbed is (specific heat capacity of water = 4200 Jkg⁻¹K⁻¹)","1,260,000 J","126,000 J","420,000 J","252,000 J","A","Correct: Q = mcΔT = 5 × 4200 × (80 − 20) = 5 × 4200 × 60 = 1,260,000 J = 1.26 MJ. B is wrong because it uses m = 0.5 kg instead of the correct 5 kg. C is wrong because it calculates for ΔT = 20°C, only part of the actual temperature range. D is wrong because it incorrectly uses ΔT = 12°C."
"Physics","Quantity of Heat & Change of State","The specific latent heat of fusion of ice is 336,000 Jkg⁻¹. The heat required to melt 500 g of ice at 0°C is","168,000 J","16,800 J","672,000 J","336,000 J","A","Correct: Q = mLf = 0.5 × 336,000 = 168,000 J, noting that 500 g must be converted to 0.5 kg. B is wrong because it uses m = 0.05 kg, an incorrect unit conversion. C is wrong because 672,000 J = 2 × mLf doubles the mass erroneously. D is wrong because 336,000 J = Lf × 1 kg simply ignores the actual mass given."
"Physics","Quantity of Heat & Change of State","Boiling differs from evaporation in that boiling","Occurs only at the surface of a liquid","Occurs throughout the liquid at a fixed temperature and produces bubbles","Occurs at any temperature","Requires less energy than evaporation","B","Correct: Boiling occurs throughout the bulk of the liquid at a specific temperature (the boiling point), forming bubbles, whereas evaporation occurs only at the surface at any temperature below boiling point. A is wrong because a surface-only process describes evaporation, not boiling. C is wrong because occurring at any temperature is a feature of evaporation, not boiling. D is wrong because boiling requires the same latent heat as evaporation at the same temperature — it doesn't require less energy."
"Physics","Quantity of Heat & Change of State","Increasing pressure on the surface of a boiling liquid will","Lower the boiling point","Raise the boiling point","Have no effect on boiling point","Cause immediate solidification","B","Correct: Higher external pressure requires the vapour pressure to reach a higher value before boiling begins, meaning more heat is needed, so the boiling point rises — this is the principle behind pressure cookers. A is wrong because it's DECREASING pressure that lowers the boiling point, not increasing it. C is wrong because pressure significantly affects the boiling point. D is wrong because increasing pressure on a liquid causes it to boil at a higher temperature, not solidify."
"Physics","Quantity of Heat & Change of State","A pressure cooker raises the boiling point of water above 100°C. This means that food cooks faster because","The water contains more pressure energy","The higher temperature increases the rate of chemical reactions in cooking","The steam is drier","Less water is needed","B","Correct: At higher temperatures, such as 120°C in a pressure cooker, cooking reactions proceed faster, since the rate of most chemical reactions approximately doubles for every 10°C rise (per the Arrhenius principle). A is wrong because pressure energy doesn't directly cook food — temperature is the key factor. C is wrong because the dryness of steam is irrelevant to cooking speed. D is wrong because the amount of water used isn't the key factor in cooking speed."
"Physics","Quantity of Heat & Change of State","The Newton's law of cooling method is used to determine","Linear expansivity of solids","Specific heat capacity of liquids by plotting temperature against time","Latent heat of vaporization directly","Boiling point only","B","Correct: Newton's law of cooling states that the rate of heat loss is proportional to the temperature difference between a body and its surroundings; the resulting cooling curve (temperature vs time) is used to determine specific heat capacity by comparing the cooling rates of a test liquid against a reference liquid. A is wrong because linear expansivity is measured using expansion instruments, not cooling curves. C is wrong because latent heat is measured by the method of mixtures or electrical heating, not cooling curves. D is wrong because Newton's law applies broadly to the cooling process, not just to finding a boiling point."
"Physics","Vapours","Relative humidity is defined as the ratio of","Actual mass of water vapor in air to mass of water vapor needed to saturate the same air at the same temperature","Temperature of air to dew point temperature","Pressure of water vapor to atmospheric pressure","Volume of water vapor to volume of dry air","A","Correct: Relative humidity (RH) = (mass of water vapour in the sample / mass needed to saturate at the same temperature) × 100%, equivalently expressed as the ratio of saturated vapour pressure at dew point to that at air temperature. B is wrong because a temperature ratio is not the definition of RH. C is wrong because the ratio of water vapour pressure to atmospheric pressure relates to absolute humidity, not the RH definition. D is wrong because a volume ratio is not the standard definition of relative humidity."
"Physics","Vapours","The dew point is the temperature at which","All water vapor condenses into rain","The water vapor in air becomes saturated (SVP equals actual vapor pressure)","Ice forms on surfaces","Humidity is 0%","B","Correct: The dew point is the temperature at which air becomes saturated with its existing amount of water vapour (RH = 100%); at this point, condensation begins and dew forms on cool surfaces. A is wrong because not all vapour condenses at the dew point — only the excess above saturation does. C is wrong because ice (frost) forms below 0°C specifically when the dew point is below 0°C, but that's not the general definition. D is wrong because at the dew point, humidity is actually 100%, not 0%."
"Physics","Vapours","A wet and dry bulb hygrometer shows wet bulb temperature of 18°C and dry bulb temperature of 24°C. The difference indicates","The temperature has risen","Evaporation is occurring from the wet bulb, indicating unsaturated air with RH < 100%","The air is fully saturated","It is raining outside","B","Correct: When wet and dry bulb temperatures differ, evaporation is cooling the wet bulb; a greater difference means drier air and a lower relative humidity (equal readings would mean 100% RH, i.e. saturated air with no evaporation). A is wrong because a temperature rise isn't inferred from the difference alone. C is wrong because saturated air (100% RH) would show equal wet and dry bulb temperatures, not a difference. D is wrong because rain cannot be inferred from a hygrometer reading."
"Physics","Structure of Matter & Kinetic Theory","Brownian motion provides evidence for","The wave nature of matter","The continuous and random motion of molecules in a fluid","The existence of atoms only in solids","The absence of intermolecular forces","B","Correct: Brownian motion, the random movement of pollen grains in water observed by Robert Brown, shows that liquid molecules are in continuous, random motion, continually bombarding and jostling suspended particles. A is wrong because Brownian motion is a particle phenomenon — wave-particle duality is a separate concept (de Broglie's hypothesis). C is wrong because molecular motion occurs in all states of matter — solids, liquids, and gases. D is wrong because Brownian motion actually occurs due to molecular bombardment, meaning intermolecular forces do exist."
"Physics","Structure of Matter & Kinetic Theory","Surface tension is explained by molecular theory as arising from","Gravity acting on surface molecules","Cohesion between molecules at the surface and net inward molecular force due to unbalanced cohesive forces","Adhesion of water to air molecules","The low density of surface molecules","B","Correct: Surface molecules experience cohesive forces from below and the sides but not from above (since there's no liquid above them), creating a net inward force that produces surface tension — the 'skin' effect that lets insects walk on water. A is wrong because gravity causes liquids to flow, not surface tension. C is wrong because water-air adhesion is very weak compared to water-water cohesion. D is wrong because density is uniform at the surface — surface tension is a force effect, not a density effect."
"Physics","Structure of Matter & Kinetic Theory","Diffusion occurs more rapidly in gases than in liquids because","Gas molecules are heavier","Gas molecules have larger intermolecular distances and higher average speeds","Liquids are more viscous than solids","Gas molecules have stronger intermolecular forces","B","Correct: In gases, molecules are widely spaced with a large mean free path and move at high speeds (hundreds of m/s), whereas in liquids, molecules are closely packed with stronger intermolecular forces that slow diffusion significantly. A is wrong because gas molecules are often lighter than liquid molecules, e.g. air vs water, which opposes this claim. C is wrong because comparing liquids to solids' viscosity is irrelevant to a gas-liquid comparison. D is wrong because gas molecules actually have WEAKER intermolecular forces, which is why they diffuse faster."
"Physics","Structure of Matter & Kinetic Theory","Capillarity (capillary action) occurs because of","Only cohesion between liquid molecules","The interplay between adhesion (liquid to tube) and cohesion (liquid to liquid) forces","Atmospheric pressure pushing liquid up the tube","The weight of liquid in the tube","B","Correct: Capillary action depends on whether adhesion (liquid-tube) or cohesion (liquid-liquid) is stronger; if adhesion exceeds cohesion (as with water in glass), the liquid rises with a concave meniscus, while if cohesion exceeds adhesion (as with mercury in glass), the liquid is depressed with a convex meniscus. A is wrong because cohesion alone would cause the liquid to fall, not rise. C is wrong because atmospheric pressure acts on both the inside and outside of the tube — it doesn't directly cause capillarity. D is wrong because the weight of the liquid actually works against capillary rise, not for it."
"Physics","Structure of Matter & Kinetic Theory","According to the kinetic theory of gases, the pressure exerted by a gas is due to","The weight of gas molecules pressing down","Collisions of gas molecules with the walls of the container","The repulsive forces between gas molecules","The temperature of the gas only","B","Correct: Gas pressure results from the rate of momentum transfer as molecules bombard the container walls; P = ⅓ρ<c²>, where more collisions and greater momentum per collision produce higher pressure. A is wrong because gas pressure acts in all directions, not just downward — weight is not the cause. C is wrong because in an ideal gas, intermolecular forces are neglected — repulsion between molecules is not considered. D is wrong because while temperature affects molecular speed and hence pressure, pressure itself has a direct mechanical cause (collisions), not temperature alone."
"Physics","Heat Transfer","In a vacuum flask (thermos flask), heat loss by radiation is minimized by","The double glass walls","The silvered inner surfaces which reflect radiated heat","The stopper at the top","The outer casing","B","Correct: The silvered inner surfaces of the vacuum flask reflect radiation back, minimizing heat transfer by radiation, while the vacuum between the walls separately prevents conduction and convection. A is wrong because the double walls create the vacuum gap, which is what stops conduction/convection — silvering is what stops radiation specifically. C is wrong because the stopper reduces convection from the opening but isn't the primary control for radiation. D is wrong because the outer casing provides only physical protection."
"Physics","Heat Transfer","Heat transfer by convection requires","A vacuum","A medium and bulk movement of the fluid carrying thermal energy","Contact between two solid surfaces","Electromagnetic radiation","B","Correct: Convection involves the bulk movement of a fluid (liquid or gas) carrying thermal energy; hot fluid rises since it's less dense and cool fluid sinks since it's denser, creating convection currents, which requires a medium, not a vacuum. A is wrong because convection cannot occur in a vacuum — it requires a fluid medium. C is wrong because contact between solid surfaces describes conduction, not convection. D is wrong because electromagnetic radiation describes a separate heat transfer mechanism (radiation), not convection."
"Physics","Heat Transfer","A good absorber of heat radiation is also a good","Reflector","Emitter","Conductor","Insulator","B","Correct: By Kirchhoff's law of radiation, good absorbers are also good emitters at the same temperature; a perfect absorber (black body) is also the best emitter, and black surfaces absorb and emit more radiation than polished surfaces. A is wrong because good absorbers are actually POOR reflectors — they're opposites. C and D are wrong because conduction and emission are different heat transfer mechanisms — absorption relates specifically to radiation, not necessarily to conduction."
"Physics","Heat Transfer","Land breeze occurs at night because","The sea heats up faster than land and the warm air rises over the sea","The land cools down faster than sea at night, so warm air rises over sea and cool air from land moves to replace it","The land is always warmer than the sea","Wind always blows from sea to land","B","Correct: At night, land cools faster than sea since the sea retains heat longer; warm air rises over the warmer sea, and cooler air from land blows seaward to replace it, forming the land breeze (land to sea). A is wrong because this actually describes the sea breeze, which occurs during the daytime when land heats up faster. C is wrong because land is warmer during the day but cooler at night — it isn't always warmer. D is wrong because wind from sea to land describes the SEA BREEZE (daytime), not the land breeze."
"Physics","Heat Transfer","The rate of heat conduction through a material is increased by","Decreasing the temperature gradient","Increasing the thickness of the material","Increasing the cross-sectional area and temperature gradient","Using a material with low thermal conductivity","C","Correct: Rate of heat flow Q/t = kA(ΔT/L), where k is thermal conductivity, A is cross-sectional area, ΔT is temperature difference, and L is thickness; increasing A and ΔT increases the heat flow rate. A is wrong because decreasing the temperature gradient (ΔT/L) actually DECREASES the heat flow rate. B is wrong because increasing thickness L DECREASES the heat flow rate. D is wrong because low thermal conductivity k DECREASES the heat flow rate."
"Physics","Waves and Sound","The frequency of a wave is 500 Hz and its wavelength is 0.4 m. The velocity of the wave is","200 ms⁻¹","1250 ms⁻¹","0.0008 ms⁻¹","2000 ms⁻¹","A","Correct: v = fλ = 500 × 0.4 = 200 ms⁻¹, using the standard wave equation relating velocity, frequency, and wavelength. B is wrong because 1250 ms⁻¹ = f/λ divides instead of multiplying. C is wrong because 0.0008 = λ/f inverts the formula. D is wrong because 2000 ms⁻¹ results from an arithmetic error."
"Physics","Waves and Sound","Which of the following correctly describes a transverse wave?","Particles vibrate parallel to the direction of wave propagation","Particles vibrate perpendicular to the direction of wave propagation","The wave can travel through a vacuum only","It is a longitudinal wave","B","Correct: In transverse waves, particle oscillation is perpendicular to the wave's travel direction, as seen in light waves, water ripples, and waves on a string. A is wrong because vibration parallel to propagation describes LONGITUDINAL waves, like sound. C is wrong because although light (a transverse wave) can travel through vacuum, not all transverse waves require it — string waves, for instance, need a medium. D is wrong because transverse and longitudinal are opposite, mutually exclusive wave types."
"Physics","Waves and Sound","The phenomenon of diffraction is best observed when","The wavelength is much smaller than the obstacle or opening","The wavelength is approximately equal to or larger than the obstacle or opening","The wave travels in a straight line","The wave is totally reflected","B","Correct: Diffraction, the bending of waves around obstacles, is most pronounced when the wavelength is approximately equal to the size of the obstacle; when wavelength is much larger than the obstacle, waves pass with minimal diffraction, and when much smaller, they cast a clear geometric shadow. A is wrong because a small wavelength relative to the obstacle actually gives poor diffraction. C is wrong because straight-line travel indicates no diffraction is occurring. D is wrong because total reflection is a distinctly different wave behavior from diffraction."
"Physics","Waves and Sound","Polarization of waves is only possible for","Longitudinal waves","Sound waves","Transverse waves","All types of waves","C","Correct: Polarization restricts vibration to one plane, which is only possible when vibrations are perpendicular to propagation, i.e. for transverse waves; longitudinal waves like sound vibrate along the propagation direction and cannot be polarized. A is wrong because longitudinal waves CANNOT be polarized, since their vibration is along the propagation direction. B is wrong because sound is a longitudinal wave and therefore cannot be polarized. D is wrong because not all waves can be polarized — only transverse waves can."
"Physics","Waves and Sound","The principle of superposition of waves states that","Two waves always cancel each other","The resultant displacement at any point is the algebraic sum of individual displacements of waves at that point","Waves must be of the same frequency to superpose","Superposition only occurs with light waves","B","Correct: The superposition principle states that when two or more waves overlap, the total displacement equals the algebraic (vector) sum of the individual displacements, leading to constructive or destructive interference. A is wrong because waves can either cancel (destructive) OR reinforce (constructive) — they don't always cancel. C is wrong because waves of different frequencies can also superpose, producing beats. D is wrong because superposition applies to all wave types, including sound and water waves, not just light."
