"Question Number","Section","Topic","Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation (Why Correct)","Why Other Options Are Wrong"
"13","Section A: Variety of Organisms","Classification - Fungi","The cell wall of fungi is composed of","cellulose","peptidoglycan","chitin","silica","C","Fungi have cell walls made of chitin, a nitrogen-containing polysaccharide. This distinguishes them from plants (cellulose) and bacteria (peptidoglycan).","A: Cellulose cell walls are found in plants. B: Peptidoglycan is found in bacterial cell walls. D: Silica (SiO2) is found in the cell walls of diatoms."
"14","Section A: Variety of Organisms","Classification - Plants","Which of the following plants shows the most advanced adaptation to terrestrial life?","Spirogyra","Funaria (moss)","Dryopteris (fern)","Cycad","D","Cycads are gymnosperms (Spermatophyta), which represent the most advanced adaptation to land among the options given. They produce seeds, have vascular tissue and pollen, and do not require water for fertilisation. Spermatophyta show greater terrestrial adaptation than Thallophyta, Bryophyta, or Pteridophyta.","A: Spirogyra is a Thallophyte — aquatic and least adapted to land. B: Mosses need water for fertilisation (still tied to water). C: Ferns have vascular tissue but still require water for fertilisation."
"15","Section A: Variety of Organisms","Classification - Plants","The feature that distinguishes Bryophytes from Pteridophytes is that Bryophytes","reproduce sexually","lack vascular tissue","are found in moist habitats","have a dominant sporophyte generation","B","Bryophytes (mosses and liverworts) lack vascular tissue (xylem and phloem), while Pteridophytes (ferns) possess vascular tissue. This is the key distinguishing feature.","A: Both reproduce sexually. C: Both prefer moist habitats. D: In Bryophytes the gametophyte is dominant; in Pteridophytes it is the sporophyte."
"16","Section A: Variety of Organisms","Classification - Animals","An organism that has jointed appendages, an exoskeleton, and a segmented body belongs to the phylum","Annelida","Mollusca","Arthropoda","Nematoda","C","Arthropoda is characterised by jointed appendages (arthro = joint, poda = legs), an exoskeleton of chitin, and a segmented body. Examples include insects, spiders, and crustaceans.","A: Annelids (earthworms) have segmented bodies but lack jointed appendages and exoskeleton. B: Molluscs have a soft body, mantle, and shell — no jointed appendages. D: Nematodes are unsegmented roundworms."
"17","Section A: Variety of Organisms","Classification - Animals","Taenia (tapeworm) belongs to the phylum","Nematoda","Platyhelminthes","Annelida","Coelenterata","B","Tapeworms (Taenia) are flatworms belonging to phylum Platyhelminthes. They are dorsoventrally flattened, lack a body cavity (acoelomate), and are parasitic.","A: Nematoda includes roundworms like Ascaris, which are cylindrical. C: Annelida includes segmented worms like the earthworm. D: Coelenterata includes Hydra and jellyfish."
"18","Section A: Variety of Organisms","Economic Importance","The economic importance of the mosquito includes its role as","a pollinator of flowers","a vector of malaria and yellow fever","a decomposer of organic matter","a producer of honey","B","Mosquitoes (Anopheles) transmit malaria (Plasmodium), while Aedes transmits yellow fever and dengue. They are medically important vectors.","A: Mosquitoes are not significant pollinators. C: Decomposition is done by bacteria and fungi. D: Honey is produced by bees (Apis mellifera)."
"19","Section A: Variety of Organisms","Classification - Vertebrates","Which of the following vertebrates is characterised by a three-chambered heart and moist, scaleless skin?","Pisces","Reptilia","Amphibia","Mammalia","C","Amphibians (frogs, toads) have moist, smooth, glandular scaleless skin used in cutaneous respiration, and a three-chambered heart (two atria, one ventricle). They live both in water and on land.","A: Fish have gills and scales. B: Reptiles have dry, scaly skin and a three-chambered heart (crocodilians have four). D: Mammals have a four-chambered heart and hair/fur."
"20","Section A: Variety of Organisms","Classification - Fish","The primary difference between cartilaginous and bony fish is that cartilaginous fish","have a swim bladder","have scales and an operculum","have a skeleton made of cartilage","breathe using lungs","C","Cartilaginous fish (sharks, rays — class Chondrichthyes) have skeletons entirely made of cartilage, not bone. Bony fish (Osteichthyes) have a bony skeleton.","A: Swim bladders are found in bony fish, not cartilaginous fish. B: Bony fish have an operculum covering the gills; sharks do not. D: Fish breathe through gills."
"21","Section A: Variety of Organisms","Adaptations","Countershading as an adaptive colouration strategy in fish functions to","attract mates during breeding seasons","warn predators of the organism's toxicity","camouflage the animal from both above and below","regulate body temperature in cold water","C","Countershading means having a darker dorsal (back) surface and lighter ventral (belly) surface. When viewed from above, the dark back blends with deep water; from below, the pale belly blends with light from the surface. This makes the fish less visible to predators from both directions.","A: Countershading is for concealment, not mate attraction. B: Warning colouration (aposematism) uses bright colours to warn predators. D: Countershading is a visual strategy, not a thermoregulatory one."
"22","Section A: Variety of Organisms","Insect Behaviour","In a termite colony, the caste responsible for reproduction is the","worker","soldier","queen","nymph","C","In termite colonies, the queen is the reproductive female. She lays enormous numbers of eggs and is the primary reproducer. The king (male reproductive) also contributes. Workers and soldiers are sterile.","A: Workers maintain the colony, gather food, and care for young — they are sterile. B: Soldiers defend the colony with enlarged mandibles — also sterile. D: Nymphs are immature termites undergoing incomplete metamorphosis."
"23","Section A: Variety of Organisms","Adaptations","Hibernation in animals is an adaptation that primarily helps them","escape from predators","survive periods of cold and food scarcity","migrate to warmer climates","increase their metabolic rate","B","Hibernation is a state of dormancy during winter/cold periods when food is scarce. Animals reduce metabolic rate, body temperature, and energy consumption to survive unfavourable conditions.","A: Hibernation is metabolic dormancy, not predator escape. C: Migration is a separate strategy involving movement; hibernation is staying put in dormancy. D: During hibernation, metabolic rate is drastically reduced, not increased."
"24","Section A: Variety of Organisms","Adaptations","The mouthpart adaptation of the butterfly for feeding on nectar is a","biting and chewing mandible","piercing and sucking proboscis","sponging labellum","coiled siphoning proboscis","D","Butterflies have a long, coiled proboscis (siphoning type) which they uncoil to reach nectar deep within flowers. It operates like a drinking straw.","A: Biting/chewing mandibles are found in cockroaches and grasshoppers. B: Piercing/sucking mouthparts are found in mosquitoes. C: The housefly uses a sponging labellum."
"25","Section A: Variety of Organisms","Adaptations","Which of the following correctly describes the adaptive significance of spines in cacti?","They trap insects for nutrient absorption","They are modified leaves that reduce water loss through transpiration","They increase photosynthetic surface area in dry environments","They provide support against strong desert winds","B","Cacti spines are modified leaves that have a very small surface area, drastically reducing the surface through which water is lost by transpiration. Photosynthesis occurs in the thick, fleshy green stem.","A: Cacti are not carnivorous plants — they do not trap insects. C: Spines reduce, not increase, surface area. D: Structural support is not the primary function of spines."
"26","Section A: Variety of Organisms","Adaptations","Aestivation in animals like lungfish is an adaptation to","cold winter temperatures","hot and dry conditions with water shortage","high-altitude environments","deep-sea pressure","B","Aestivation is a summer dormancy in response to heat and drought. Lungfish burrow into mud and secrete a mucus cocoon when water bodies dry up, entering dormancy until the rains return.","A: Dormancy in cold is hibernation. C: High altitude adaptation involves physiological changes (more red blood cells), not dormancy. D: Deep-sea organisms have pressure adaptations but not aestivation."
"27","Section A: Variety of Organisms","Adaptations","The warning colouration of mushrooms serves to","attract insects for pollination","warn potential predators of toxicity","camouflage the mushroom in its forest environment","reflect sunlight to aid photosynthesis","B","Aposematic (warning) colouration uses bright or conspicuous colours to advertise unpalatability or toxicity to potential predators — a form of chemical defence signalling.","A: Mushrooms do not need insect pollination — they disperse by spores. C: Warning colouration does the opposite of camouflage. D: Mushrooms are fungi and do not photosynthesize."
"28","Section A: Variety of Organisms","Adaptations","Male Agama lizards display bright red-head colouration primarily to","warn predators of their toxicity","regulate their body temperature","attract females and establish dominance","camouflage themselves from predators","C","The red coloration of the male Agama lizard head is a sexual selection characteristic — it attracts females and signals dominance to rival males during the breeding season.","A: Agama lizards are not toxic; the colour is for sexual selection. B: Thermoregulation occurs through basking behaviour, not colouration. D: Bright red is conspicuous — the opposite of camouflage."
"29","Section A: Variety of Organisms","Adaptations","A stick insect's resemblance to a twig is an example of","warning colouration","mimicry","camouflage (cryptic colouration)","countershading","C","Camouflage or cryptic colouration is when an organism blends with its environment to avoid detection. The stick insect's twig-like shape and brown/green colour make it nearly invisible among branches.","A: Warning colouration (aposematism) uses bright conspicuous colours. B: Mimicry is when a harmless species resembles a harmful or unpalatable one. D: Countershading is a specific pattern of dark above, light below."
"30","Section A: Variety of Organisms","Classification - Mammals","Which feature is characteristic of mammals that distinguishes them from all other vertebrates?","Warm-blooded metabolism","Presence of hair and mammary glands","Internal fertilization","Four-chambered heart","B","The defining features of Class Mammalia are the presence of hair (or fur) on the body and mammary glands that produce milk to nourish young. These are unique to mammals.","A: Birds are also warm-blooded (endothermic). C: Internal fertilization also occurs in reptiles and birds. D: Birds also have a four-chambered heart."
"31","Section A: Variety of Organisms","Classification - Plants","Spirogyra is classified as a Thallophyte because it","lacks roots, stems, and leaves","has vascular tissue","reproduces only asexually","is found only in marine environments","A","Thallophytes have an undifferentiated plant body called a thallus — they lack true roots, stems, and leaves. Spirogyra is a filamentous green alga with no such differentiated structures.","B: Thallophytes lack vascular tissue. C: Spirogyra can reproduce sexually by conjugation. D: Spirogyra is a freshwater alga."
"32","Section A: Variety of Organisms","Classification - Plants","The main difference between monocots and dicots is that monocots have","two cotyledons in the seed","net-veined leaves and taproot systems","one cotyledon, parallel leaf venation, and fibrous roots","woody stems and broad leaves","C","Monocotyledons (e.g. maize, grasses) have one seed leaf (cotyledon), leaves with parallel venation, fibrous root systems, and floral parts in multiples of three.","A: Two cotyledons define dicots. B: Net/reticulate venation and taproot systems are dicot features. D: Woody stems are more associated with dicot trees."
"33","Section A: Variety of Organisms","Reproduction","Which of the following organisms reproduces by binary fission?","Rhizopus","Paramecium","Hydra","Yeast","B","Paramecium (a protozoan) reproduces asexually by binary fission — splitting into two identical daughter cells. This is the primary mode of asexual reproduction in most unicellular organisms.","A: Rhizopus (a fungus) reproduces by spore formation. C: Hydra reproduces asexually by budding. D: Yeast reproduces asexually by budding."
"34","Section A: Variety of Organisms","Classification - Chordates","An organism with a notochord at some stage of its life is classified as a","vertebrate","chordate","arthropod","coelenterate","B","All chordates possess a notochord (a flexible rod-like structure) at some stage of their development. Vertebrates are a subgroup of chordates where the notochord is replaced by a vertebral column.","A: Vertebrates are a subphylum of chordates — having a notochord does not mean it must be a vertebrate (e.g. tunicates are chordates but not vertebrates). C: Arthropods are invertebrates with jointed appendages. D: Coelenterates are diploblastic invertebrates."
"35","Section A: Variety of Organisms","Life Cycles","The life cycle of a butterfly includes the stages: egg → larva → pupa → adult. This type of metamorphosis is called","incomplete metamorphosis","complete metamorphosis","simple metamorphosis","ametabolous development","B","Complete metamorphosis (holometabolism) involves four distinct stages: egg, larva (caterpillar), pupa (chrysalis), and adult. Butterflies undergo this type of development.","A: Incomplete metamorphosis (e.g. cockroach) has three stages: egg → nymph → adult, with no pupal stage. C: 'Simple metamorphosis' is another name for incomplete metamorphosis. D: Ametabolous development (no metamorphosis) occurs in silverfish."
"36","Section A: Variety of Organisms","Levels of Organisation","Which of the following best describes the structural complexity of animals from coelenterates to mammals?","Cellular → tissue → organ system → organ","Organ → tissue → cellular → organ system","Cellular → tissue → organ → organ system","Tissue → cellular → organ system → organ","C","The evolutionary progression in animal complexity goes from the cellular level (coelenterates/sponges) → tissue level (flatworms) → organ level → organ system level (vertebrates including mammals).","A: This incorrectly places 'organ system' before 'organ'. B: This starts with organ — incorrect. D: This places tissue before cell — incorrect."
"37","Section A: Variety of Organisms","Classification - Animals","Earthworms belong to the phylum Annelida. Their most distinctive feature is","jointed appendages","a mantle secreting a shell","a segmented body with setae","a pseudocoelom","C","Annelids are defined by their segmented (annulated) body plan. Earthworms have tiny bristles called setae on each segment which aid in locomotion.","A: Jointed appendages define Arthropoda. B: A mantle and shell define Mollusca. D: Earthworms are true coelomates; pseudocoelom is found in nematodes."
"38","Section A: Variety of Organisms","Classification - Birds","Which of the following statements about birds (Aves) is INCORRECT?","They have a four-chambered heart","They are warm-blooded vertebrates","They have scales on their legs","They are the only vertebrates that lay eggs","D","Many vertebrates lay eggs — reptiles, fish, amphibians, and even some mammals (monotremes like the platypus) lay eggs. Birds are not the only egg-laying vertebrates.","A: Birds have a four-chambered heart — this is correct. B: Birds are endothermic (warm-blooded) — correct. C: Birds have scales on their legs, which is evolutionarily shared with reptiles — correct."
"39","Section A: Variety of Organisms","Classification - Fungi","Rhizopus is used as an example of Fungi because it","is unicellular and photosynthetic","has a thallus body with chlorophyll","is multicellular, lacks chlorophyll, and reproduces by spores","is prokaryotic with peptidoglycan walls","C","Rhizopus (bread mould) is a fungus — it is multicellular (filamentous hyphae), heterotrophic (saprophytic), lacks chlorophyll, and reproduces by producing spores in sporangia.","A: Rhizopus is multicellular and non-photosynthetic. B: Fungi lack chlorophyll and do not have a thallus body in the algal sense. D: Fungi are eukaryotic and have chitin walls, not peptidoglycan."
"40","Section A: Variety of Organisms","Classification - Plants","The gradual transition of plants from aquatic to terrestrial life can be traced through","Monera → Protista → Fungi → Plantae","Thallophyta → Bryophyta → Pteridophyta → Spermatophyta","Spermatophyta → Pteridophyta → Bryophyta → Thallophyta","Bryophyta → Thallophyta → Pteridophyta → Gymnospermae","B","The evolutionary progression from aquatic to terrestrial life in plants follows: Thallophyta (fully aquatic, e.g. Spirogyra) → Bryophyta (moist terrestrial, still need water for fertilisation) → Pteridophyta (vascular, more independent) → Spermatophyta (seed plants, fully independent of water for reproduction).","A: This describes kingdom evolution, not plant terrestrial adaptation. C: This is in reverse order. D: This incorrectly places Thallophyta after Bryophyta."
"41","Section B: Form and Functions","Plant Anatomy","The vascular bundle arrangement that is scattered throughout the cross-section of the stem is characteristic of","dicotyledonous plants","monocotyledonous plants","gymnosperms","ferns","B","In monocot stems (e.g. maize), vascular bundles are scattered randomly throughout the ground tissue. In dicot stems, they are arranged in a ring (circle).","A: Dicot stems have vascular bundles arranged in a ring. C: Gymnosperms have vascular bundles in a ring like dicots. D: Ferns have their own vascular arrangement but bundles are not scattered as in monocots."
"42","Section B: Form and Functions","Plant Anatomy","The tissue responsible for the lateral growth (increase in girth) of a dicotyledonous stem is the","collenchyma","sclerenchyma","cambium","epidermis","C","The vascular cambium is a meristematic tissue that produces new xylem (secondary xylem, wood) and phloem cells, resulting in secondary growth and increase in stem girth.","A: Collenchyma provides flexible support but does not produce new cells for growth. B: Sclerenchyma provides rigid support. D: Epidermis is a protective tissue."
"43","Section B: Form and Functions","Plant Anatomy","In a leaf, the palisade mesophyll is adapted for photosynthesis because it","is located below the spongy mesophyll and has fewer chloroplasts","is located near the upper epidermis and contains densely packed cells with many chloroplasts","contains large air spaces for gaseous exchange","has a waxy cuticle that prevents water loss","B","Palisade mesophyll cells are column-shaped, densely packed, and rich in chloroplasts. They are positioned just below the upper epidermis to maximise light absorption for photosynthesis.","A: Palisade is near the upper surface and has MORE chloroplasts. C: Large air spaces are found in the spongy mesophyll, which is adapted for gas exchange. D: The waxy cuticle is on the epidermis."
"44","Section B: Form and Functions","Plant Transport","The function of xylem vessels in a flowering plant is to","transport organic solutes from leaves to all parts of the plant","transport water and mineral salts from roots to leaves","provide flexible support to the plant","store starch in the root cortex","B","Xylem is responsible for the upward transport of water and dissolved mineral salts from the roots to the rest of the plant (transpiration stream). It is a one-way transport system.","A: Transport of organic solutes (sugars) is the function of phloem. C: Flexible support is provided by collenchyma. D: Starch storage in root cortex is a function of parenchyma cells."
"45","Section B: Form and Functions","Human Anatomy","The mammalian kidney is located in the","thoracic cavity","pericardial cavity","abdominal cavity (retroperitoneal position)","cranial cavity","C","The kidneys are paired organs located in the posterior abdominal cavity, lying behind the peritoneum (retroperitoneal) on either side of the vertebral column.","A: The thoracic cavity contains the lungs and heart. B: The pericardial cavity surrounds the heart. D: The cranial cavity contains the brain."
"46","Section B: Form and Functions","Photosynthesis","The dark reaction of photosynthesis (Calvin cycle) occurs in the","grana of the chloroplast","stroma of the chloroplast","outer membrane of the chloroplast","cytoplasm of the cell","B","The light-independent (dark) reactions occur in the stroma — the fluid-filled region of the chloroplast surrounding the thylakoids. CO2 is fixed here in the Calvin cycle using ATP and NADPH from the light reactions.","A: The grana (stacks of thylakoids) are where the light-dependent reactions occur. C: The outer membrane is just the envelope; no reactions occur there. D: The Calvin cycle is confined to the chloroplast stroma."
"47","Section B: Form and Functions","Photosynthesis","Which of the following is a product of the light-dependent reaction of photosynthesis?","Glucose and carbon dioxide","ATP, NADPH, and oxygen","Starch and water","RuBP and G3P","B","During the light-dependent stage, light energy splits water (photolysis), releasing O2. The energy is used to produce ATP and NADPH (reduced NADP), which power the Calvin cycle.","A: Glucose is produced in the dark reaction (Calvin cycle). C: Starch is a storage form of glucose produced later; water is a reactant not product here. D: RuBP and G3P are intermediates of the Calvin cycle (dark reactions)."
"48","Section B: Form and Functions","Plant Nutrition","A plant growing in nitrogen-deficient soil is most likely to show","purple discolouration of leaves (anthocyanin accumulation)","yellowing of older leaves (chlorosis) due to reduced chlorophyll synthesis","wilting of stems due to loss of turgor","early flowering","B","Nitrogen is essential for protein and chlorophyll synthesis. Nitrogen deficiency leads to chlorosis (yellowing) starting in older leaves, as nitrogen is mobilised from them to support new growth.","A: Purple discolouration from anthocyanin accumulation is often associated with phosphorus deficiency. C: Wilting is caused by water deficit, not nitrogen deficiency. D: Nitrogen deficiency typically stunts growth; early flowering is not a typical symptom."
"49","Section B: Form and Functions","Food Tests","The food test for the presence of reducing sugars uses","Biuret reagent (turns purple)","Iodine solution (turns blue-black)","Benedict's solution (turns brick-red precipitate)","Ethanol (turns milky white)","C","Benedict's test detects reducing sugars. When heated with Benedict's solution (blue), a positive result gives an orange-red/brick-red precipitate due to the reduction of copper(II) ions to copper(I) oxide.","A: Biuret reagent tests for proteins (turns purple). B: Iodine tests for starch (turns blue-black). D: The ethanol emulsion test detects lipids/fats (turns milky white when water is added)."
"50","Section B: Form and Functions","Nutrition","Which deficiency disease is caused by insufficient vitamin C in the diet?","Rickets","Kwashiorkor","Pellagra","Scurvy","D","Scurvy is caused by vitamin C (ascorbic acid) deficiency. Vitamin C is needed for collagen synthesis; deficiency causes bleeding gums, loose teeth, bruising, and poor wound healing.","A: Rickets is caused by vitamin D / calcium / phosphorus deficiency. B: Kwashiorkor is caused by protein deficiency. C: Pellagra is caused by niacin (vitamin B3) deficiency."
"51","Section B: Form and Functions","Nutrition","Chemosynthesis differs from photosynthesis in that it uses","carbon dioxide as the carbon source","light energy to drive the synthesis of organic compounds","chemical energy from inorganic compounds rather than light energy","water as the source of hydrogen","C","Chemosynthesis (performed by nitrifying bacteria, sulphur bacteria, etc.) uses energy released from oxidation of inorganic compounds (e.g. ammonia, hydrogen sulphide) to fix CO2 into organic compounds — without light.","A: Both photosynthesis and chemosynthesis use CO2 as the carbon source. B: Light energy is used only in photosynthesis. D: In photosynthesis, water provides hydrogen; chemosynthesis uses H2S or H2 in some bacteria."
"52","Section B: Form and Functions","Digestion","The enzyme that acts on starch in the mouth is","pepsin","lipase","salivary amylase","trypsin","C","Salivary amylase (ptyalin) is secreted by the salivary glands and begins the chemical digestion of starch in the mouth, converting it to maltose (a reducing sugar).","A: Pepsin is a protease secreted in the stomach that digests proteins. B: Lipase digests fats/lipids (in the mouth and small intestine). D: Trypsin is a pancreatic protease that acts in the small intestine."
"53","Section B: Form and Functions","Digestion","Which part of the mammalian alimentary canal is responsible for the absorption of most digested food?","Stomach","Colon","Small intestine","Oesophagus","C","The small intestine (specifically the ileum) is the primary site of nutrient absorption. Its inner surface has finger-like projections called villi (and microvilli forming the brush border) that greatly increase the surface area for absorption.","A: The stomach mainly churns food and begins protein digestion; limited absorption occurs there. B: The colon absorbs water and some ions, not most digested food. D: The oesophagus is purely a transit tube — no digestion or absorption."
"54","Section B: Form and Functions","Digestion","The dental formula of an adult human is 2.1.2.3 / 2.1.2.3. What does this indicate?","32 teeth in total, with 3 molars on each side of each jaw","28 teeth in total with no molars","16 teeth per jaw, with incisors only","32 teeth with 4 canines in each jaw","A","The formula I.C.PM.M = 2.1.2.3 per half jaw. Total = (2+1+2+3) x 4 = 32 teeth. There are 3 molars, 2 premolars, 1 canine, and 2 incisors on each side of each jaw.","B: The formula gives 32, not 28 (that would exclude wisdom teeth). C: All tooth types are represented. D: There is only 1 canine per side per jaw."
"55","Section B: Form and Functions","Nutrition","Kwashiorkor is a nutritional disease caused by","deficiency of vitamin A","deficiency of iron in the diet","severe protein deficiency","excess carbohydrate consumption","C","Kwashiorkor is caused by severe protein (and often energy) deficiency, typically in children after weaning. Symptoms include oedema, a swollen belly, hair discolouration, and growth retardation.","A: Vitamin A deficiency causes night blindness and xerophthalmia. B: Iron deficiency causes anaemia. D: Excess carbohydrates can lead to obesity, not kwashiorkor."
"56","Section B: Form and Functions","Nutrition","Which type of heterotrophic nutrition is exhibited by the sundew plant?","Parasitic","Saprophytic","Carnivorous (insectivorous)","Commensal","C","The sundew (Drosera) is a carnivorous plant that traps and digests insects to supplement its nitrogen supply in nutrient-poor soils. This is a specialised form of holozoic nutrition.","A: Parasitic nutrition involves deriving nutrients from a living host. B: Saprophytic nutrition involves breaking down dead organic matter (e.g. mushrooms). D: Commensalism is an ecological relationship, not a nutrition mode."
"57","Section B: Form and Functions","Digestion","Bile is produced by the liver and stored in the gall bladder. Its role in digestion is to","chemically digest fats into fatty acids and glycerol","emulsify fats into smaller droplets, increasing surface area for lipase action","neutralise chyme in the small intestine only","stimulate gastric juice secretion","B","Bile salts emulsify fats — breaking large fat globules into smaller droplets. This is a physical (not chemical) process that increases the surface area for lipase to act on more efficiently.","A: Bile does not chemically digest fats; lipase does. C: Bile does help neutralise acidic chyme from the stomach (with its alkaline pH), but its PRIMARY role in digestion is emulsification. D: Gastric juice secretion is stimulated by gastrin (a hormone) and vagal nerve stimulation."
"58","Section B: Form and Functions","Blood","The mineral element required for the formation of haemoglobin in red blood cells is","calcium","phosphorus","iron","potassium","C","Haemoglobin contains a haem group, which includes an iron (Fe2+) ion that binds reversibly to oxygen. Iron deficiency leads to anaemia (fewer/smaller red blood cells).","A: Calcium is needed for bone formation, muscle contraction, and blood clotting. B: Phosphorus is a component of ATP, DNA, and bone mineral. D: Potassium is important for nerve impulse transmission and fluid balance."
"59","Section B: Form and Functions","Digestion","The end products of fat digestion are","amino acids and glycerol","glucose and fructose","fatty acids and glycerol","maltose and glycerol","C","Fats (triglycerides) are hydrolysed by lipase into fatty acids and glycerol. These are absorbed into the lacteals of the intestinal villi and enter the lymphatic system as chylomicrons.","A: Amino acids are the end products of protein digestion. B: Glucose and fructose are end products of carbohydrate digestion. D: Maltose is an intermediate in starch digestion, not a fat digestion product."
"60","Section B: Form and Functions","Photosynthesis","In photosynthesis, which of the following is a raw material (reactant)?","Glucose","Oxygen","Carbon dioxide","ATP","C","Carbon dioxide (CO2) from the atmosphere and water (H2O) from the soil are the two raw materials (reactants) in photosynthesis. Glucose and oxygen are the products.","A: Glucose is a product of photosynthesis. B: Oxygen is released as a by-product during photolysis of water. D: ATP is produced during the light reactions and used in the dark reactions — it is an intermediary, not a raw material."
